day,state,suscetivel,exposto,infectadoS,infectadoA,recuperado
2020-05-06,RS,0.9989298064724893,0.00011875285316449088,1.3922326348332589e-05,9.984189439928202e-05,0.0008420711929549542
2020-05-07,RS,0.9988851100694489,0.00012313796970352296,1.4436736361165457e-05,0.00010353102247824926,0.0008781789413645007
2020-05-08,RS,0.9988387634671607,0.00012768399839583242,1.497004465356165e-05,0.00010735569101202927,0.000915621538134174
2020-05-09,RS,0.9987907065808238,0.00013239672527682065,1.5522932360715365e-05,0.00011132078841064,0.000954447712484389
2020-05-10,RS,0.9987408779686063,0.00013728206715937807,1.6096095829417613e-05,0.00011543131453178766,0.0009947072932294304
2020-05-11,RS,0.9986892129392614,0.00014234623945068284,1.6690267434922773e-05,0.00011969252404157323,0.0010364527691677653
2020-05-12,RS,0.9986356422167345,0.000147595876278448,1.7306230206043772e-05,0.00012411002881808445,0.0010797403873191486
2020-05-13,RS,0.9985800981637496,0.00015303747370933377,1.7944749548617953e-05,0.0001286893229295901,0.0011246250294191184
2020-05-14,RS,0.9985225097120618,0.00015867784330446155,1.860662886372293e-05,0.00013343616958835466,0.0011711643855379236
2020-05-15,RS,0.9984627997119837,0.00016452435435536215,1.929273612118035e-05,0.00013835679454812975,0.0012194211423479805
2020-05-16,RS,0.998400891802477,0.00017058431042538046,2.0003932815953656e-05,0.00014345737711717117,0.001269457316520787
2020-05-17,RS,0.9983367070610113,0.00017686525337396312,2.074110861195721e-05,0.0001487442983614173,0.0013213370179977813
2020-05-18,RS,0.9982701624159398,0.00018337510089423228,2.1505197790489304e-05,0.00015422426043992075,0.0013751277642920017
2020-05-19,RS,0.9982011695642985,0.000190122237649463,2.2297190474623202e-05,0.0001599043686348834,0.0014309013782989048
2020-05-20,RS,0.9981296419547127,0.00019711491514510143,2.311806026073002e-05,0.0001657916052142309,0.001488728204023746
2020-05-21,RS,0.9980554884598035,0.00020436179553746613,2.396882979550354e-05,0.0001718933061934347,0.0015486823480265308
2020-05-22,RS,0.9979786096043296,0.00021187226526972813,2.485060815168037e-05,0.00017821743170448278,0.001610844829900895
2020-05-23,RS,0.9978989090665709,0.00021965546786342763,2.5764475092435793e-05,0.00018477172731774886,0.0016752940025120228
2020-05-24,RS,0.9978162854405032,0.00022772099694881977,2.6711564010693227e-05,0.00019156432509783702,0.001742112412795981
2020-05-25,RS,0.9977306337895289,0.00023607876574049006,2.7693046316549416e-05,0.00019860363048523308,0.0018113855072853114
2020-05-26,RS,0.9976418444056371,0.0002447390993810186,2.8710143524095367e-05,0.00020589840819740436,0.0018832026826168038
2020-05-27,RS,0.9975498025824044,0.00025371275327819477,2.97641295297753e-05,0.0002134577986322101,0.001957657475511761
2020-05-28,RS,0.9974543922287359,0.0002630106455263211,3.085629553803337e-05,0.00022129106879802566,0.002034844500758126
2020-05-29,RS,0.9973554919408449,0.0002726441507582068,3.198798833355711e-05,0.0002294078845329749,0.0021148627748867545
2020-05-30,RS,0.9972529759363499,0.0002826250320470416,3.3160601267524635e-05,0.000237818246653017,0.0021978149230389658
2020-05-31,RS,0.9971467149747947,0.0002929653144690234,3.4375559800682475e-05,0.0002465323802807077,0.002283806510011168
2020-06-01,RS,0.9970365741800833,0.0003036775591769046,3.563435313472699e-05,0.0002555609750141619,0.0023729476719472034
2020-06-02,RS,0.9969224140585108,0.0003147747243566647,3.693851830476731e-05,0.00026491506321323056,0.0024653523749708084
2020-06-03,RS,0.9968040902970142,0.000326270183873786,3.828964241772634e-05,0.0002746060364188699,0.0025611385796316527
2020-06-04,RS,0.9966814540639899,0.0003381776851518814,3.968935764146229e-05,0.00028464560834956645,0.0026604280242234356
2020-06-05,RS,0.996554352401923,0.0003505112951367556,4.113933482560922e-05,0.00029504576746289127,0.002763345940007978
2020-06-06,RS,0.9964226253875482,0.0003632857394653906,4.264132387625913e-05,0.00030581907508243087,0.002870023213383947
2020-06-07,RS,0.9962861084249853,0.00037651611724806735,4.419711988822577e-05,0.0003169784147867241,0.0029805946624478674
2020-06-08,RS,0.9961446314309743,0.00039021799390266264,4.580857422941959e-05,0.0003285370740466878,0.003095199666203039
2020-06-09,RS,0.995998018179431,0.000404407364547995,4.7477592352128204e-05,0.0003405087341221401,0.0032139828689028882
2020-06-10,RS,0.995846087036885,0.0004191007425313848,4.9206140819318496e-05,0.0003529075110528646,0.003337093308067529
2020-06-11,RS,0.9956886504665106,0.0004343151371695228,5.099624617248443e-05,0.00036574795141348384,0.0034646849380900887
2020-06-12,RS,0.9955255147566173,0.000450068051683564,5.284999528661995e-05,0.0003790450363139967,0.0035969168994546058
2020-06-13,RS,0.9953564794617079,0.0004663775074971595,5.476953947904514e-05,0.0003928142119227655,0.0037339540187491613
2020-06-14,RS,0.9951813359970071,0.0004832620709393677,5.675710152202668e-05,0.00040707144467808467,0.0038759681252094813
2020-06-15,RS,0.9949998715600153,0.0005007408083112778,5.8814958260478044e-05,0.00042183308101893417,0.004023134331749982
2020-06-16,RS,0.9948118655525537,0.0005188333418038703,6.094545757339756e-05,0.00043711598231818547,0.00417563440510689
2020-06-17,RS,0.994617090346571,0.0005375598470022036,6.315101544319644e-05,0.00045293750041680775,0.004333656029922839
2020-06-18,RS,0.9944153093909148,0.0005569410544797618,6.543412009956969e-05,0.00046931550390007655,0.004497394669961885
2020-06-19,RS,0.994206279547715,0.0005769982718725092,6.77973292582376e-05,0.0004862683635705037,0.004667051226939855
2020-06-20,RS,0.9939897505730569,0.0005977533921256463,7.024327202182828e-05,0.0005038149654699455,0.004842832536681761
2020-06-21,RS,0.9937654638679619,0.0006192288982072103,7.277465197203214e-05,0.000521974730941087,0.005024952590273906
2020-06-22,RS,0.9935331525548156,0.0006414478552971535,7.539424543422817e-05,0.0005407676042083545,0.005213632479600859
2020-06-23,RS,0.9932925402353655,0.0006644338111509078,7.810488987983032e-05,0.000560213963845915,0.005409101839113951
2020-06-24,RS,0.9930433435589306,0.0006882110903975525,8.090951890853748e-05,0.0005803348878726472,0.005611595683246729
