day,state,suscetivel,exposto,infectado,recuperado
2020-10-07,SC,0.9683607137957577,0.0011402928087760767,0.002777144609806851,0.02772193063114985
2020-10-08,SC,0.9680236899929151,0.0011462883285340095,0.002792428385719488,0.028037675138321887
2020-10-09,SC,0.9676849346126906,0.0011522803277717064,0.0028077141063481393,0.028355152798680117
2020-10-10,SC,0.9673444489883686,0.001158268170798586,0.002823000206552734,0.028674364479770592
2020-10-11,SC,0.967002235086583,0.0011642512558866776,0.0028382853427273546,0.028995310160293428
2020-10-12,SC,0.9666582958450561,0.001170229033381491,0.002853568510935345,0.02931798845611757
2020-10-13,SC,0.9663126333153282,0.0011762009061080756,0.0028688483972696085,0.02964239922678464
2020-10-14,SC,0.9659652495218685,0.0011821662754398143,0.0028841236783540003,0.029968542369828242
2020-10-15,SC,0.9656161464891461,0.0011881245427500904,0.002899393030812376,0.030296417782781995
2020-10-16,SC,0.9652653272089536,0.0011940750279766288,0.0029146551091205663,0.030626024499439738
2020-10-17,SC,0.9649127956124909,0.001200016971971667,0.0029299085462455516,0.030957360714782403
2020-10-18,SC,0.9645585545915696,0.0012059497030899957,0.002945151998952349,0.03129042555187867
2020-10-19,SC,0.9642026070284437,0.001211872550490993,0.0029603841242247975,0.031625218142330984
2020-10-20,SC,0.963844955805368,0.0012177848433340363,0.002975603579046738,0.031961737617741785
2020-10-21,SC,0.9634856430828518,0.0012236789766309185,0.0029907946625935444,0.032299965123414306
2020-10-22,SC,0.9631245751697529,0.0012295721289872807,0.003005992763424423,0.032639941783325924
2020-10-23,SC,0.9627618272509928,0.0012354506430137505,0.003021169711795649,0.03298163423968833
2020-10-24,SC,0.9623973993265714,0.0012413145187103276,0.003036325507707224,0.033325042492501525
2020-10-25,SC,0.9620312914132638,0.0012471637584781756,0.003051460142182533,0.03367016653156608
2020-10-26,SC,0.9616635069955624,0.0012529988610890024,0.0030665717505917746,0.034017004238247515
2020-10-27,SC,0.9612940487013518,0.0012588202026993275,0.00308165892669509,0.034365554014744365
2020-10-28,SC,0.9609229216275129,0.0012646270867445577,0.003096720151802505,0.034715812979430716
2020-10-29,SC,0.9605501313331387,0.0012704187534918249,0.0031117537695009583,0.035067777989359145
2020-10-30,SC,0.9601756807000331,0.0012761946934855652,0.003126759128155828,0.03542144732381614
2020-10-31,SC,0.9597995817581123,0.001281952779599943,0.0031417335083351768,0.035776813799443266
2020-11-01,SC,0.9594218313178521,0.0012876937039617091,0.0031566775701229494,0.03613387925355391
2020-11-02,SC,0.9590424386564106,0.0012934162105000821,0.003171589033658707,0.03649263794492119
2020-11-03,SC,0.9586614113624096,0.0012991191666304658,0.003186466084019903,0.036853085232430714
2020-11-04,SC,0.9582787569182604,0.0013048014605409415,0.0032013069319004493,0.03721521653478891
2020-11-05,SC,0.9578944815160239,0.0013104626475824522,0.0032161099834850278,0.037579027698399284
2020-11-06,SC,0.9575085912932295,0.0013161023113009052,0.0032308736532199534,0.037944514587740244
2020-11-07,SC,0.9571210928495675,0.0013217197962866194,0.003245596285533238,0.038311672914103305
2020-11-08,SC,0.9567319929992834,0.0013273145246926188,0.0032602761355405956,0.03868049818597402
2020-11-09,SC,0.9563412995340896,0.0013328862720300627,0.00327491105147112,0.03905098498789986
2020-11-10,SC,0.95594901977025,0.0013384346419336405,0.0032894990794670948,0.039423128353839834
