day,state,suscetivel,infectado,recuperado
2020-04-21,ES,0.999762434812772,5.3193380436925564e-05,0.00018437180679108995
2020-04-22,ES,0.9997530089868533,5.48987211019966e-05,0.0001920922920448359
2020-04-23,ES,0.9997432807686946,5.6658693920922987e-05,0.00020006053738453737
2020-04-24,ES,0.9997332405373409,5.847503221539036e-05,0.00020828443044376712
2020-04-25,ES,0.9997228784173419,6.0349514968126275e-05,0.00021677206769004446
2020-04-26,ES,0.9997121842787523,6.228396682290018e-05,0.00022553175442483524
2020-04-27,ES,0.9997011477371319,6.428025808452345e-05,0.00023457200478355187
2020-04-28,ES,0.9996897581535457,6.634030471884939e-05,0.0002439015417355533
2020-04-29,ES,0.9996780039331976,6.846619271084727e-05,0.000253529874091554
2020-04-30,ES,0.9996658728404725,7.066012220519212e-05,0.0002634670373222735
2020-05-01,ES,0.9996533528642099,7.292425408570368e-05,0.0002737228817043727
2020-05-02,ES,0.999640431670216,7.526080704967593e-05,0.00028430752273437144
2020-05-03,ES,0.9996270966012413,7.767205761181029e-05,0.0002952313411468983
2020-05-04,ES,0.9996133346769811,8.016034010421555e-05,0.0003065049829146905
2020-05-05,ES,0.999599132594075,8.2728046676408e-05,0.00031813935924859376
2020-05-06,ES,0.9995844777558404,8.537744595907051e-05,0.00033014479820062646
2020-05-07,ES,0.9995693513278746,8.811190597397491e-05,0.0003425367661514585
2020-05-08,ES,0.9995537406568082,9.093370718890258e-05,0.0003553256360029327
2020-05-09,ES,0.9995376302043777,9.384563902933774e-05,0.0003685241565930201
2020-05-10,ES,0.9995210040800302,9.685055388626857e-05,0.00038214536608360545
2020-05-11,ES,0.9995038460297205,9.995136908900734e-05,0.00039620260119049296
2020-05-12,ES,0.9994861394247087,0.00010315106887801064,0.0004107095064134123
2020-05-13,ES,0.9994678672085476,0.00010645271367536158,0.00042568007777707775
2020-05-14,ES,0.9994490106730798,0.00010985965375066856,0.0004411296731696309
2020-05-15,ES,0.9994295507890986,0.00011337529697291462,0.00045707391392854467
2020-05-16,ES,0.999409468395571,0.0001170030757993549,0.0004735285286296972
2020-05-17,ES,0.9993887437488033,0.0001207465259854213,0.0004905097252113526
2020-05-18,ES,0.9993673565011986,0.00012460929030997772,0.000508034208491531
2020-05-19,ES,0.9993452856800141,0.0001285951223005752,0.0005261191976853768
2020-05-20,ES,0.9993225096661188,0.0001327078899587071,0.0005447824439225294
2020-05-21,ES,0.9992990061727505,0.00013695157948506433,0.0005640422477644916
2020-05-22,ES,0.9992747521385009,0.00014133031278389568,0.0005839175487152989
2020-05-23,ES,0.9992497234625847,0.00014584839030400278,0.0006044281471114604
2020-05-24,ES,0.9992238954850542,0.00015051021420621908,0.0006255943007397108
2020-05-25,ES,0.9991972427842214,0.0001553203212197597,0.0006474368945590115
2020-05-26,ES,0.9991697391244715,0.00016028339133843214,0.000669977484190251
2020-05-27,ES,0.9991413574324394,0.00016540425196056164,0.00069323831560019
2020-05-28,ES,0.9991120697731858,0.00017068788202891617,0.0007172423447854045
2020-05-29,ES,0.9990818473263733,0.00017613941617063185,0.0007420132574562321
2020-05-30,ES,0.9990506603624536,0.00018176414883428317,0.0007675754887122559
2020-05-31,ES,0.9990184783147003,0.0001875675142411264,0.0007939541710587317
2020-06-01,ES,0.9989852697088998,0.0001935551022551589,0.0008211751888451984
2020-06-02,ES,0.9989510020354965,0.0001997326887746475,0.0008492652757290769
2020-06-03,ES,0.9989156417956631,0.00020610622223462746,0.0008782519821025041
2020-06-04,ES,0.9988791544784987,0.00021268182748899979,0.0009081636940123716
2020-06-05,ES,0.9988415045382272,0.00021946580969262874,0.0009390296520803642
2020-06-06,ES,0.9988026553713937,0.00022646465818343918,0.0009708799704229985
2020-06-07,ES,0.9987625692940639,0.00023368505036451418,0.0010037456555716613
2020-06-08,ES,0.9987212074370678,0.00024113386805386955,0.0010376586948785125
2020-06-09,ES,0.9986785290033883,0.00024881831087181173,0.0010726526857400675
2020-06-10,ES,0.9986344923035798,0.0002567457391349377,0.0011087619572853937
2020-06-11,ES,0.998589054544949,0.0002649237063414206,0.0011460217487097419
2020-06-12,ES,0.9985421716496862,0.000273359987252027,0.0011844683630619567
2020-06-13,ES,0.998493798226146,0.0002820625826724353,0.0012241391911816982
2020-06-14,ES,0.9984438875401279,0.00029103972423555303,0.0012650727356366587
2020-06-15,ES,0.9983923914861565,0.00030029987918383513,0.001307308634659784
2020-06-16,ES,0.9983392605587621,0.00030985175515160134,0.0013508876860864917
2020-06-17,ES,0.9982844433743321,0.0003197043696574995,0.0013958522560105326
2020-06-18,ES,0.9982278862832255,0.0003298671066007371,0.0014422466101738757
2020-06-19,ES,0.9981695347052828,0.0003403495246173425,0.0014901157700999404
2020-06-20,ES,0.9981093324539577,0.00035116145504101323,0.0015395060910014084
2020-06-21,ES,0.9980472216748263,0.00036231301140388924,0.0015904653137698895
2020-06-22,ES,0.9979831428089561,0.0003738145953580641,0.0016430425956859417
2020-06-23,ES,0.9979170345562739,0.000385676902597096,0.0016972885411290894
2020-06-24,ES,0.9978488338389347,0.00039791092877751905,0.001753255232287844
2020-06-25,ES,0.9977784757381781,0.00041052797875940647,0.00181099628306259
2020-06-26,ES,0.9977058924172669,0.00042353980278027033,0.0018705677799528949
2020-06-27,ES,0.9976310141601783,0.0004369584677559489,0.0019320273720658955
2020-06-28,ES,0.9975537696094112,0.0004507963288447681,0.0019954340617441197
2020-06-29,ES,0.9974740853138356,0.0004650660873883835,0.002060848598776049
2020-06-30,ES,0.9973918856832737,0.00047978079793334106,0.0021283335187930598
2020-07-01,ES,0.9973070929430811,0.0004949538752526369,0.0021979531816663646
2020-07-02,ES,0.9972196270887289,0.0005105991013672784,0.0022697738099039526
2020-07-03,ES,0.9971294058403848,0.0005267306325678439,0.00234386352704753
2020-07-04,ES,0.9970363443251463,0.0005433630347550873,0.0024202926400987393
2020-07-05,ES,0.9969403540703008,0.0005605113904206728,0.0024991345392786795
2020-07-06,ES,0.9968413447172623,0.0005781911227292104,0.002580464160008655
2020-07-07,ES,0.9967392233985094,0.0005964180626037861,0.0026643585388869727
2020-07-08,ES,0.9966338945626839,0.0006152084692112706,0.002750896968104947
2020-07-09,ES,0.9965252599162872,0.0006345790383236988,0.0028401610453892548
2020-07-10,ES,0.9964132183653762,0.0006545469106796494,0.002932234723944288
2020-07-11,ES,0.99629766595726,0.0006751296803456241,0.0030272043623945084
2020-07-12,ES,0.9961784953648607,0.0006963454246306434,0.0031251592105088427
2020-07-13,ES,0.996055595808234,0.000718212713398454,0.0032261914783677315
2020-07-14,ES,0.9959288538142508,0.0007407505788790517,0.0033303956068702766
2020-07-15,ES,0.9957981527093813,0.0007639785451863134,0.003437868745432497
2020-07-16,ES,0.9956633725502477,0.0007879166372045412,0.0035487108125479127
2020-07-17,ES,0.9955243900570262,0.0008125853893407324,0.0036630245536332716
2020-07-18,ES,0.995381078546849,0.0008380058542768489,0.003780915598874285
2020-07-19,ES,0.9952333078284162,0.0008641996113114485,0.0039024925602724764
2020-07-20,ES,0.995080943250239,0.0008911887657415746,0.0040278679840196445
2020-07-21,ES,0.9949238466171144,0.00091899596802194,0.004157157414863846
2020-07-22,ES,0.9947618762117004,0.0009476444234505993,0.00429047936484916
