day,state,suscetivel,exposto,infectado,recuperado
2020-10-13,GO,0.9635339550350949,0.002615824226233194,0.003203252561141947,0.03064822022328666
2020-10-14,GO,0.9630594935537544,0.0026387392382917875,0.003232184522528983,0.031070834731181513
2020-10-15,GO,0.9625809925650675,0.0026617473256291117,0.003261253911089848,0.031497258243970205
2020-10-16,GO,0.9620984382775988,0.0026848464861877748,0.0032904586349126463,0.031927508647057484
2020-10-17,GO,0.9616118173214218,0.0027080346632682084,0.003319796532936272,0.03236160352813047
2020-10-18,GO,0.9611211170141398,0.002731309714791434,0.003349265332497283,0.032799559984328173
2020-10-19,GO,0.9606263245917409,0.0027546695006077796,0.0033788627715794946,0.03324139518182848
2020-10-20,GO,0.9601274277282653,0.0027781118170528765,0.003408586514171149,0.03368712598626736
2020-10-21,GO,0.9596244145639459,0.0028016343934037973,0.0034384341456814215,0.0341367689427256
2020-10-22,GO,0.9591172737052084,0.002825234891879058,0.0034684031729404173,0.034590340275728826
2020-10-23,GO,0.9586059942493355,0.0028489109098284765,0.0034984910242158683,0.0350478558623768
2020-10-24,GO,0.9580905660864707,0.0028726600065471664,0.0035286950494175357,0.03550933090332124
2020-10-25,GO,0.9575709794969264,0.0028964796675217666,0.0035590125198246576,0.03597478036148387
2020-10-26,GO,0.9570472251822134,0.002920367307185458,0.0035894406281069507,0.03644421892825078
2020-10-27,GO,0.9565192943379007,0.0029443202753869123,0.0036199764883739246,0.03691766094409507
2020-10-28,GO,0.9559871786536147,0.0029683358573902876,0.0036506171361748788,0.03739512039857679
2020-10-29,GO,0.9554508703130395,0.0029924112738752306,0.003681359528498906,0.03787661093034299
2020-10-30,GO,0.9549103621314747,0.0030165437317225654,0.0037122005633726625,0.03836214561918671
2020-10-31,GO,0.954365647546671,0.0030407304206309703,0.0037431370785547717,0.03885173699989995
2020-11-01,GO,0.9538167203818609,0.003064968425628869,0.003774165817774898,0.03934539742049196
2020-11-02,GO,0.9532635749737172,0.0030892547743159764,0.0038052834489638605,0.039843138848759646
2020-11-03,GO,0.9527062061729432,0.0031135864370815686,0.003836486564337864,0.04034497287139394
2020-11-04,GO,0.9521446093442739,0.003137960327104483,0.0038677716803984965,0.04085091069397975
2020-11-05,GO,0.9515787804938175,0.0031623733021027807,0.0038991352328581717,0.04136096301697816
2020-11-06,GO,0.9510087168950273,0.003186822172934477,0.003930573551695401,0.04187513942609945
2020-11-07,GO,0.9504344160234944,0.0032113036889617926,0.003962082903602911,0.04239344942969748
2020-11-08,GO,0.9498558758385366,0.0032358145419201303,0.003993659480766441,0.042915902184533485
2020-11-09,GO,0.9492730948773463,0.003260351367211658,0.004025299397112954,0.04344250640408567
2020-11-10,GO,0.9486860722549916,0.003284910743905309,0.00405699868831064,0.043973270358549164
2020-11-11,GO,0.9480948076692209,0.003309489194480568,0.004088753312089711,0.0445082018699655
2020-11-12,GO,0.9474993020208409,0.0033340831517541664,0.004120559189652981,0.04504730768350863
2020-11-13,GO,0.9468995569315594,0.003358688984584635,0.0041524121734915894,0.04559059395612111
2020-11-14,GO,0.9462955743533343,0.00338330301869856,0.004184308021308769,0.046138066652415086
2020-11-15,GO,0.9456873568815228,0.0034079215199960987,0.004216242416922752,0.04668973122731504
2020-11-16,GO,0.9450749077548812,0.003432540694550978,0.0042482109702667685,0.04724559262605775
2020-11-17,GO,0.9444582308555649,0.003457156688610494,0.0042802092173890504,0.04780565528419231
2020-11-18,GO,0.9438373308881091,0.003481765533243231,0.004312232684001104,0.04836992294040329
2020-11-19,GO,0.9432122138131264,0.003506363010212222,0.004344277039464646,0.048938398182953396
2020-11-20,GO,0.9425828860624472,0.0035309448947035108,0.004376337818122332,0.04951108327048358
2020-11-21,GO,0.9419493547907866,0.003555506877494714,0.004408410508653662,0.0500879798688217
2020-11-22,GO,0.9413116278834514,0.0035800446152817124,0.004440490510240942,0.05066908903678269
2020-11-23,GO,0.9406697137940417,0.0036045541734403214,0.00447257272810214,0.05125441135017255
2020-11-24,GO,0.9400236217497061,0.0036290314660766525,0.004504652085010396,0.05184394674496356
2020-11-25,GO,0.9393733617225174,0.0036534723341151336,0.004536723449959836,0.05243769453916434
2020-11-26,GO,0.9387189444100777,0.003677872615695085,0.004568781574783857,0.053035653445200025
2020-11-27,GO,0.938060381360157,0.0037022283241097864,0.004600820959043324,0.05363782140244665
2020-11-28,GO,0.9373976848655701,0.0037265354977289705,0.004632835963982669,0.05424419571847509
2020-11-29,GO,0.9367308679295562,0.0037507901505728167,0.004664820850059801,0.05485477311556792
2020-11-30,GO,0.9360599443011675,0.0037749883227863237,0.004696769738626517,0.05546954968317653
2020-12-01,GO,0.9353849288502617,0.0037991254941043416,0.004728677208632568,0.056088520492758184
2020-12-02,GO,0.9347058375132546,0.0038231966687034533,0.004760538210302646,0.05671167965349605
2020-12-03,GO,0.9340226868449507,0.003847197076190666,0.004792347351994251,0.057339020772621214
