day,state,suscetivel,exposto,infectadoA,infectadoS,recuperado
2020-04-18,SC,0.9992508476995972,0.00014976026326169795,9.561495479658822e-05,1.610863976888357e-05,0.0004914937675276369
2020-04-19,SC,0.9992003621874838,0.00015838575418623235,0.00010112583984923743,1.7036922176060683e-05,0.0005269146212566481
2020-04-20,SC,0.99914697197023,0.00016750797721222903,0.00010695166863701018,1.8018284894517983e-05,0.0005643754239781754
2020-04-21,SC,0.9990905058168772,0.0001771556005561828,0.00011311133984137224,1.9055902690529987e-05,0.0006039966649866473
2020-04-22,SC,0.9990307926151659,0.00018735726651138737,0.00011962374171162966,2.0152949429003803e-05,0.0006458987521338916
2020-04-23,SC,0.998967642605596,0.00019814366856256397,0.00012651065650032297,2.1313103098058784e-05,0.0006902152911949448
2020-04-24,SC,0.9989008643932386,0.00020954590652835032,0.00013379392914543217,2.254005130738939e-05,0.0007370810447321084
2020-04-25,SC,0.9988302452498872,0.0002215998970726702,0.00014149663104555057,2.383768097446707e-05,0.000786645865971996
2020-04-26,SC,0.9987555707722184,0.00023434195550698175,0.0001496419128576741,2.5209890724845815e-05,0.0008390607936439068
2020-04-27,SC,0.9986766022964804,0.0002478139991263719,0.00015825421725714747,2.6660778292836512e-05,0.0008944940337950667
2020-04-28,SC,0.9985930964409732,0.0002620584705277395,0.00016735870600557222,2.819456523905366e-05,0.0009531171422063251
2020-04-29,SC,0.9985047972247126,0.0002771192511373963,0.00017698243132809743,2.9815798382773465e-05,0.0010151106193909232
2020-04-30,SC,0.9984114288466368,0.0002930429209013427,0.00018715505534609229,3.152947037300718e-05,0.0010806690316945416
2020-05-01,SC,0.9983127040820153,0.0003098772429680345,0.00019790802166814547,3.334088340388605e-05,0.0011499950948963469
2020-05-02,SC,0.9982083177396786,0.00032767238836815886,0.00020927516821709962,3.525574921035108e-05,0.0012233042794776473
2020-05-03,SC,0.9980979471424266,0.0003464808948983019,0.0002212926294020118,3.728017220702172e-05,0.0013008244860179398
2020-05-04,SC,0.9979812539733335,0.00036635753236466184,0.00023399842112760733,3.942057794756504e-05,0.0013827948201784958
2020-05-05,SC,0.9978578793473836,0.00038735980587582597,0.0002474333076821754,4.1683862484352364e-05,0.0014694690015259874
2020-05-06,SC,0.9977274425837905,0.00040955199471757157,0.0002616376935113063,4.4076824175847947e-05,0.0015611162287565733
2020-05-07,SC,0.9975895365316516,0.0004330147657588704,0.0002766446255150901,4.660488039447231e-05,0.0016580245216316894
2020-05-08,SC,0.9974437440267024,0.0004578083894645732,0.0002925065906935531,4.9276977168419084e-05,0.001760489340922714
2020-05-09,SC,0.9972896171363425,0.0004840101468141725,0.0003092692721737305,5.210077629083382e-05,0.0018688279933304942
2020-05-10,SC,0.9971266854469313,0.0005116966609492354,0.0003269842651189055,5.5084984313821196e-05,0.001983373967638403
2020-05-11,SC,0.9969544523622874,0.0005409501092873767,0.0003457047687149218,5.823856204857702e-05,0.0021044795226133517
2020-05-12,SC,0.9967723935666697,0.0005718577275768631,0.0003654863409078966,6.157085992658077e-05,0.0022325168298706296
2020-05-13,SC,0.9965799562300325,0.0006045103350267445,0.00038638828629619594,6.509187006123098e-05,0.0023678786035350578
2020-05-14,SC,0.9963765573581735,0.0006390039553888351,0.00040847266966518214,6.881204406224547e-05,0.002510979297661869
2020-05-15,SC,0.9961615820280463,0.0006754397192318756,0.0004318047787025199,7.27423749666263e-05,0.0026622564240042783
2020-05-16,SC,0.9959343819785466,0.000713923836424537,0.0004564534395978865,7.689445290394364e-05,0.002822171617478801
2020-05-17,SC,0.9956942729471528,0.000754568130604173,0.00048249113369062035,8.128048279069289e-05,0.0029912126307132096
2020-05-18,SC,0.9954405354227206,0.0007974899127963031,0.0005099939066554757,8.591326896715542e-05,0.0031698928138120135
2020-05-19,SC,0.9951724135630357,0.0008428121222003754,0.0005390415058038251,9.080623855474906e-05,0.0033587518953569137
2020-05-20,SC,0.994889107026663,0.000890664365159453,0.0005697181536016791,9.597357148074383e-05,0.0035583622080466895
2020-05-21,SC,0.9945897714842907,0.0009411830368671044,0.0006021125392105432,0.0001014301991016726,0.0037693280654815496
2020-05-22,SC,0.9942735191687389,0.0009945108998454736,0.00063631768684986,0.00010719178264309783,0.003992285786874325
2020-05-23,SC,0.9939394187287683,0.0010507971464991217,0.0006724309798055849,0.0001132747171314546,0.004227903752747116
2020-05-24,SC,0.9935864909816164,0.0011101981002114136,0.0007105545563560593,0.0001196961973270849,0.00447688548944073
2020-05-25,SC,0.9932136999608465,0.0011728782295594628,0.000750796029736071,0.00012647433816906172,0.004739976766640578
2020-05-26,SC,0.9928199631277654,0.001239008896361093,0.0007932676373203566,0.00013362803247611934,0.005017957631028745
2020-05-27,SC,0.9924041361931307,0.0013087701532768557,0.0008380873945498949,0.00014117714254906926,0.0053116544414451815
2020-05-28,SC,0.991965020341923,0.0013823498957098827,0.0008853785588711608,0.00014914241134302995,0.0056219341171046865
2020-05-29,SC,0.9915013574898218,0.0014599442086746137,0.0009352700442176398,0.00015754553284981395,0.005949708049387906
2020-05-30,SC,0.9910118220655835,0.0015417581142225226,0.0009878970960591259,0.00016640926573125431,0.006295938783355404
2020-05-31,SC,0.9904950249830642,0.0016280050792023698,0.0010434009587398081,0.00017575737824558082,0.006661636925699824
2020-06-01,SC,0.989949509935291,0.0017189072901914277,0.0011019291737615405,0.000185614698764465,0.007047864226943471
2020-06-02,SC,0.9893737487164878,0.0018146962888712069,0.0011636355919761557,0.00019600711234721172,0.0074557376152695025
2020-06-03,SC,0.9887661406783752,0.0019156129503532075,0.0012286804412308184,0.0002069615727931853,0.007886429682199422
2020-06-04,SC,0.9881250075536185,0.0020219076597276144,0.0012972305573647229,0.00021850614061285834,0.008341173413628146
2020-06-05,SC,0.9874485944700192,0.002133840182047774,0.0013694593869531249,0.0002306699845640064,0.008821261301367782
2020-06-06,SC,0.9867350632405898,0.002251679162556892,0.0014455476456584487,0.00024348349806038922,0.009328051778086438
2020-06-07,SC,0.9859824956751913,0.002375702221592411,0.0015256830610702581,0.00025697825400116395,0.009862966113096956
2020-06-08,SC,0.9851888841890151,0.0025061958500821853,0.001610060551702565,0.00027118703198231056,0.010427497702169946
2020-06-09,SC,0.9843765953564831,0.0026195623967317574,0.0016984056649009015,0.0002860602997136696,0.011023201607122977
2020-06-10,SC,0.9836444214106989,0.0026380151770135202,0.001773761205268171,0.00029864039646670883,0.011648987135505306
2020-06-11,SC,0.9828844455381575,0.002676305658908745,0.0018351832015530989,0.0003088014216695079,0.012299089504663763
2020-06-12,SC,0.9821010900751942,0.0027258943951989152,0.0018893226518756742,0.00031772558687654425,0.012969792615807225
2020-06-13,SC,0.9812966244721162,0.0027821395181009136,0.0019398125555611706,0.0003260505091102983,0.0136591982700641
2020-06-14,SC,0.9804721574676908,0.0028425013948649848,0.001988652601517645,0.00033412126629565024,0.014366392594583619
2020-06-15,SC,0.9796281571917342,0.0029056018223146914,0.002036935982021426,0.00034212217310463684,0.01509100815577769
2020-06-16,SC,0.9787647529299579,0.0029706783653649133,0.0020852719000080174,0.0003501529356102546,0.01583296919401164
2020-06-17,SC,0.9778818810424178,0.0030373209173609884,0.0021339901290884675,0.0003582651879359001,0.01659236804814954
2020-06-18,SC,0.9769793812118961,0.0031052979623214247,0.0021832765166851305,0.0003664864696254581,0.017369383164424487
2020-06-19,SC,0.9760570403000228,0.003174477835023622,0.002233234651391322,0.00037483096391233866,0.01816424157460254
2020-06-20,SC,0.9751146143320463,0.0032447897426380067,0.0022839165041701787,0.00038330472416847345,0.018977200021929656
2020-06-21,SC,0.9741518488586771,0.0033161876719500463,0.0023353509107709716,0.00039191051791843154,0.0198085273656359
2020-06-22,SC,0.9731684856077841,0.003388639022099789,0.0023875527957850913,0.0004006492545867368,0.02065849864469679
2020-06-23,SC,0.9721642655075199,0.0034621200577960864,0.0024405268649275117,0.0004095204973063282,0.021527392397402638
2020-06-24,SC,0.97113893240606,0.0035366099932175096,0.002494272369466607,0.0004185231950849771,0.022415487361123407
2020-06-25,SC,0.9700922347571586,0.0036120888860233474,0.0025487848104630575,0.0004276558998205922,0.02332306097148695
2020-06-26,SC,0.9690239267274597,0.0036885365561734906,0.002604056829767515,0.0004369168550907081,0.02425038835646087
2020-06-27,SC,0.96793376926916,0.0037659317197363223,0.002660078861904745,0.000446304065320016,0.025197741408831305
2020-06-28,SC,0.9668215311104443,0.0038442515044960525,0.0027168394299948973,0.0004558153118352817,0.026165387968181793
