day,state,suscetivel,exposto,infectadoS,infectadoA,recuperado
2020-09-16,RN,0.7488661761045615,0.010101395413028343,0.0013495739185904708,0.009770166500035114,0.22992694586130302
2020-09-17,RN,0.7456334960050733,0.009986020400791483,0.0013370308703713953,0.009681084690954675,0.23337662583032762
2020-09-18,RN,0.7424455099247169,0.009865307788523108,0.0013236869805897265,0.00958616473576416,0.23679358836792455
2020-09-19,RN,0.73930363207953,0.009739570731539925,0.0013095785976675446,0.009485665862616986,0.24017581052616413
2020-09-20,RN,0.7362091656395633,0.009609127819306765,0.0012947434806486558,0.009379857742013012,0.24352136311598685
2020-09-21,RN,0.7331633007722522,0.009474302410630877,0.0012792204934307912,0.00926901841145997,0.24682841570974468
2020-09-22,RN,0.7301671185407986,0.00933542044459872,0.0012630494586616772,0.009153433133968486,0.2500952362194909
2020-09-23,RN,0.7272215896822976,0.009192809250854769,0.001246270942879198,0.00903339289621949,0.25332019502526754
2020-09-24,RN,0.7243275759372217,0.009046795909554586,0.0012289260678948696,0.008909193023698109,0.25650176685914916
2020-09-25,RN,0.7214858309025981,0.008897705880360748,0.0012110562179856181,0.008781131099277337,0.25963853369729667
2020-09-26,RN,0.7186970073536041,0.008745863734826873,0.0011927031751091098,0.008649507893410744,0.2627291756405677
2020-09-27,RN,0.7159616561417488,0.008591587409442773,0.0011739085999394234,0.008514623581300418,0.265772482065087
2020-09-28,RN,0.713280214471941,0.008435189955561721,0.0011547142405613413,0.00837677930093222,0.2687673598285222
2020-09-29,RN,0.7106530197621416,0.008276979147001167,0.001135161593504292,0.008236274648508655,0.2717128226463627
2020-09-30,RN,0.7080803365005884,0.008117254147237015,0.0011152912464071582,0.008093402814157019,0.2746079730891288
2020-10-01,RN,0.7055623225920816,0.007956308869499332,0.0010951435667296238,0.007948455772847978,0.27745202699635985
2020-10-02,RN,0.7030990560150673,0.007794428464763649,0.0010747574338549149,0.007801715343107149,0.28024430054072536
2020-10-03,RN,0.7006905221038265,0.007631891160301854,0.0010541711304679843,0.007653459364879248,0.2829842140380428
2020-10-04,RN,0.6983366339058593,0.007468962665860456,0.0010334218950527776,0.00750395828735619,0.2856712810433897
2020-10-05,RN,0.696037224503491,0.00730589849673364,0.001012546012464287,0.0073534759387202785,0.2883051128461092
2020-10-06,RN,0.6937920539573103,0.007142939364863817,0.0009915793265508266,0.007202272460147132,0.2908854126886464
2020-10-07,RN,0.6916008266030138,0.006980305661934156,0.0009705573231018014,0.007050604243487811,0.2934119639659808
2020-10-08,RN,0.6894631702618679,0.006818223158465454,0.0009495120315609943,0.006898705313118795,0.29588464703250517
2020-10-09,RN,0.6873786512196063,0.006656909534779544,0.0009284735847352707,0.0067467967165254685,0.2983034267418718
2020-10-10,RN,0.6853467828174571,0.006496564680768992,0.0009074715452558293,0.00659509463314046,0.300668344120896
2020-10-11,RN,0.6833670328571455,0.006337363671375525,0.0008865359224389481,0.006443816581543685,0.30297950876501456
2020-10-12,RN,0.6814388159518119,0.00617947765184882,0.0008656940430838847,0.0062931620128380255,0.3052371081379356
2020-10-13,RN,0.6795614983002416,0.0060230776154534,0.0008449701636586715,0.0061433099586139395,0.30744140175955065
2020-10-14,RN,0.6777344107385024,0.005868313206994763,0.0008243884728517617,0.005994437541057995,0.3095927078381113
2020-10-15,RN,0.6759568480196902,0.005715320177221357,0.0008039720150996268,0.005846713285526124,0.3116914042999809
2020-10-16,RN,0.6742280691024122,0.005564227955987881,0.000783741636312085,0.005700290592856964,0.31373792850994914
2020-10-17,RN,0.6725473035059605,0.005415153410359892,0.0007637169150128631,0.005555313487458711,0.3157327704787263
2020-10-18,RN,0.6709137545832085,0.005268202490811349,0.0007439160375473574,0.005411915879166426,0.3176764688067845
2020-10-19,RN,0.669326602493946,0.005123471409653002,0.0007243557101219063,0.005270221039475521,0.3195696071443216
2020-10-20,RN,0.6677850076801356,0.004981046342407847,0.000705051258863777,0.005130342226026975,0.32141281029008395
2020-10-21,RN,0.6662881106637281,0.004841003777221821,0.0006860166344253643,0.0049923827451179925,0.3232067439770249
2020-10-22,RN,0.6648350410672916,0.00470341113822129,0.0006672645467555072,0.004856436846520804,0.32495210419872894
2020-10-23,RN,0.6634249096789556,0.004568325109506385,0.0006488061846164487,0.004722587745328063,0.32664962907911166
2020-10-24,RN,0.6620568250939955,0.004435796034273945,0.0006306517597772592,0.004590911517668532,0.32830007339180284
2020-10-25,RN,0.6607298850799518,0.004305865528691114,0.000612810208186006,0.0044614749635544645,0.3299042220171348
2020-10-26,RN,0.6594431845979137,0.004178568238554597,0.0005952893038107787,0.004334336474480841,0.33146287918275824
2020-10-27,RN,0.658195812650174,0.0040539311540271645,0.0005780956425216056,0.004209545883203798,0.3329768724675915
2020-10-28,RN,0.6569868606281632,0.003931974797438888,0.0005612348979782255,0.004087146241582304,0.3344470412323554
2020-10-29,RN,0.6558154175140609,0.0038127126013576904,0.0005447116703868241,0.003967172773810894,0.3358742432379019
2020-10-30,RN,0.6546805778783571,0.0036961523813395444,0.0005285297546725262,0.0038496547432913812,0.33725934303985766
2020-10-31,RN,0.6535814384176799,0.003582295637981614,0.0005126920189570354,0.0037346146065855867,0.3386032171163141
2020-11-01,RN,0.652517100614764,0.003471137995727199,0.0004972004876284237,0.0036220685931592617,0.3399067501062394
2020-11-02,RN,0.6514866726831676,0.0033626704967218983,0.0004820564351853063,0.003512027414751271,0.3411708307676922
2020-11-03,RN,0.6504892729090617,0.0032568798490839163,0.00046726048120954313,0.0034044969103101267,0.342396347647853
2020-11-04,RN,0.6495240328968668,0.00315374871209705,0.00045281268394602436,0.00329947868433813,0.34358418482027014
2020-11-05,RN,0.6485900905139456,0.003053256298544518,0.00043871225941002407,0.003196968349994994,0.344735230375623
2020-11-06,RN,0.6476865892939716,0.002955378879218909,0.0004249575415423365,0.0030969553209094073,0.3458503767618759
2020-11-07,RN,0.6468126888578843,0.002860090378796376,0.0004115463695448674,0.002999425364743796,0.34693050682654875
2020-11-08,RN,0.6459675607905508,0.0027673627920592786,0.00039847592785675987,0.002904359611770613,0.3479764986752807
2020-11-09,RN,0.6451503873518062,0.0026771665830788906,0.0003857427073990455,0.0028117343431536003,0.34898922681208044
2020-11-10,RN,0.6443603655641703,0.0025894713471261276,0.0003733426141005388,0.002721521754575537,0.34996955651754563
2020-11-11,RN,0.6435967082053082,0.002504242594996655,0.00036127148862095715,0.002633693153657597,0.3509183423549348
2020-11-12,RN,0.6428586514515298,0.0024214210732002354,0.0003495281749927043,0.0025482376333087757,0.35183641946448685
2020-11-13,RN,0.6421454362684317,0.002340970150960706,0.00033810763222462116,0.0024651201386423727,0.35272462360725887
2020-11-14,RN,0.6414563211370347,0.0022628463463044836,0.00032700533911104757,0.0023843084595942597,0.35358377651547396
2020-11-15,RN,0.6407905777329286,0.002187010116971897,0.000316215763511725,0.0023057638419845287,0.35441469034212175
2020-11-16,RN,0.6401474956282696,0.002113416111908513,0.0003057338689046964,0.002229450288946833,0.3552181618994889
2020-11-17,RN,0.6395263792260085,0.0020420202245777642,0.00029555411819322236,0.002155328458967377,0.35599497576977146
2020-11-18,RN,0.6389265494096121,0.001972776409720276,0.0002856709994692134,0.0020833589365657906,0.35674590204215095
2020-11-19,RN,0.6383473431699638,0.0019056383003786068,0.0002760788304141496,0.002013501053988694,0.35747169644277305
2020-11-20,RN,0.6377881130457361,0.001840559149845622,0.0002667718183063844,0.0019457132957727643,0.35817310048785733
2020-11-21,RN,0.6372482275507056,0.0017774918207956322,0.00025774409843284105,0.001879953556049497,0.3588508407715346
2020-11-22,RN,0.636727071381597,0.0017163891593881828,0.0002489897217916393,0.0018161790903173146,0.3595056284444241
2020-11-23,RN,0.6362240451889558,0.0016572040117240746,0.00024050270409003933,0.0017543468546189107,0.36013815903812946
2020-11-24,RN,0.6357385630389468,0.001599889193615678,0.00023227699105708924,0.0016944132731322276,0.3607491153007665
2020-11-25,RN,0.6352700559743014,0.0015443977042658105,0.00022430648665845197,0.0016363344299703915,0.36133916320232207
2020-11-26,RN,0.6348179696242707,0.0014906832594042288,0.00021658515635054104,0.001580066814182511,0.36190895294331016
2020-11-27,RN,0.6343817681807343,0.0014386995349147352,0.00020910688040127375,0.0015255662594498719,0.362459116942018
2020-11-28,RN,0.6339609305120463,0.001388400579584738,0.00020186556796647007,0.0014727887811285317,0.3629902723567923
2020-11-29,RN,0.6335549454607271,0.0013397411696191494,0.00019485528212642115,0.0014216915006381213,0.3635030243844075
2020-11-30,RN,0.6331633194094027,0.001292676259518636,0.00018807004061310338,0.0013722311711256725,0.36399796091685815
2020-12-01,RN,0.6327855729548137,0.0012471612808287664,0.0001815039436283723,0.0013243651008627451,0.36447565451738456
2020-12-02,RN,0.6324212398489437,0.0012031522775953578,0.00017515124282657934,0.0012780516408573998,0.3649366627872951
2020-12-03,RN,0.6320698689180209,0.0011606056475755584,0.00016900620696926714,0.0012332492373068914,0.3653815277876456
2020-12-04,RN,0.6317310134267381,0.001119478288427106,0.00016306312654525124,0.0011899164970995799,0.36581078645870807
2020-12-05,RN,0.6314042723626547,0.0010797301681907715,0.00015731651081954634,0.0011480135585236109,0.3662249251973294
2020-12-06,RN,0.6310892100815929,0.0010413190062193139,0.00015176070363594947,0.0011074994053481438,0.3666244686007218
2020-12-07,RN,0.6307854333453616,0.0010042083069006084,0.00014638981549186083,0.0010683317862429662,0.36700989454352106
2020-12-08,RN,0.6304925526608286,0.0009683626017582139,0.00014119795412514567,0.0010304685540163752,0.3673816760267898
2020-12-09,RN,0.6302101948289365,0.0009337385306714646,0.00013618059715214814,0.0009938761209452838,0.3677402677198128
2020-12-10,RN,0.629937997383058,0.0009002964331965457,0.000131332902909717,0.0009585189859735325,0.36808611209238035
2020-12-11,RN,0.6296756072887288,0.0008680017061355067,0.00012664949639583,0.0009243584591524833,0.3684196408471055
2020-12-12,RN,0.6294226831890274,0.000836819697391272,0.00012212524248967735,0.0008913574400926222,0.3687412722285173
2020-12-13,RN,0.629178895831983,0.0008067145768484727,0.00011775542170229101,0.0008594815012933667,0.3690514104656911
2020-12-14,RN,0.6289439260820787,0.0007776520640870263,0.00011353531274877045,0.0008286963110039324,0.36935044802759975
2020-12-15,RN,0.6287174648768441,0.0007495992525602766,0.00010946022357796322,0.0007989678295498051,0.3696387656149861
2020-12-16,RN,0.6284992132125224,0.0007225238751552703,0.00010552560014770359,0.0007702629809575045,0.36991673212873527
2020-12-17,RN,0.6282888819011401,0.0006963948564163794,0.00010172693936041285,0.0007425491124825682,0.37018470498811884
2020-12-18,RN,0.6280861909275516,0.0006711812705749925,9.805994734361766e-05,0.0007157949728749035,0.3704430306791732
2020-12-19,RN,0.6278908716525106,0.0006468531799543838,9.452045347792193e-05,0.0006899702005691347,0.3706920423110064
