date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,suscetivel,infectado,recuperado
2020-03-13,MG,0.0,0.0,2.0,8.06251095960096,36.75403913528175,4.0556132068832405,21168782.937489036,5.5083776399120765,2.554133319688883
2020-03-14,MG,2.0,0.0,4.0,11.571762733931125,57.33159089894815,4.560346238814264,21168779.42823726,7.748515484616555,3.8232472493145675
2020-03-15,MG,0.0,0.0,4.0,16.50814407114574,156.4536681045383,8.936050986830834,21168774.491855927,10.899663966016202,5.608480105129531
2020-03-16,MG,2.0,0.0,6.0,23.45209034852555,304.5754575330987,12.45600900339649,21168767.54790965,15.332344667202127,8.119745681323423
2020-03-17,MG,8.0,0.0,14.0,33.21998511485606,369.40782781528844,10.79509025428874,21168757.780014884,21.567696613724795,11.652288501131267
2020-03-18,MG,5.0,0.0,19.0,46.960264270633786,781.7763780836802,16.30050188364713,21168744.039735727,30.338824013573895,16.621440257059895
2020-03-19,MG,10.0,0.0,29.0,66.288321055178,1390.4188871140311,20.66359905122102,21168724.71167894,42.67691201909407,23.61140903608393
2020-03-20,MG,9.0,0.0,38.0,90.0060679399309,2704.6311025727086,29.71923920894941,21168700.993932057,56.62715961374918,33.37890832618172
2020-03-21,MG,17.0,0.0,55.0,104.1500299384629,2415.725442951799,22.974082312345107,21168686.84997006,59.5444503722967,44.60557956616617
2020-03-22,MG,28.0,0.0,83.0,119.02266525266536,1297.6324119055844,10.811561376127393,21168671.977334745,62.61202698978989,56.41063826287544
2020-03-23,MG,45.0,0.0,128.0,134.6615143456833,44.37577337774423,0.3271065754482804,21168656.33848565,65.83763117650201,68.82388316918122
2020-03-24,MG,2.0,0.0,130.0,151.10600515244593,445.4634534950742,2.9286381760444975,21168639.89399484,69.2293937927354,81.87661135971051
2020-03-25,MG,3.0,0.0,133.0,168.3976289058741,1252.9921321579727,7.396751301957115,21168622.60237109,72.79587109449326,95.60175781138079
2020-03-26,MG,20.0,0.0,153.0,186.5800508376911,1127.619814261918,6.011405846337161,21168604.419949155,76.54606754365648,110.03398329403456
2020-03-27,MG,36.0,0.0,189.0,205.69916929230678,278.86225505312166,1.3491213148455585,21168585.300830703,80.48944798372231,125.2097213085844
2020-03-28,MG,16.0,0.0,205.0,225.80321689299248,432.7738330968877,1.908146802437435,21168565.1967831,84.63595848326062,141.16725840973177
2020-03-29,MG,26.0,0.0,231.0,246.94292342800426,254.1768074312072,1.0251424155084348,21168544.057076566,88.99605990287537,157.94686352512883
2020-03-30,MG,30.0,1.0,261.0,269.17164199989406,66.77573297443266,0.24716040691812816,21168521.828357995,93.5807538830551,175.59088811683895
2020-03-31,MG,14.0,2.0,275.0,292.5454879873724,307.84414871502855,1.048710204424165,21168498.454512008,98.40161147153233,194.14387651584
2020-04-01,MG,39.0,3.0,314.0,317.12337752785413,9.755487181504186,0.030665734965202356,21168473.87662247,103.47078105180782,213.65259647604628
2020-04-02,MG,56.0,4.0,370.0,342.9673270301181,730.7654078965835,2.12451983217754,21168448.032672968,108.80105003724387,234.1662769928742
2020-04-03,MG,27.0,6.0,397.0,370.1426009205358,721.3198853136038,1.9435114253242072,21168420.857399076,114.40587531293352,255.73672560760218
2020-04-04,MG,33.0,6.0,430.0,398.71777203207574,978.5777866371826,2.448171822989786,21168392.282227963,120.29939565524005,278.41837637683557
2020-04-05,MG,68.0,6.0,498.0,428.7649227647694,4793.495919768349,11.153762594049715,21168362.235077232,126.49647317129532,302.2684495934739
2020-04-06,MG,27.0,9.0,525.0,460.3598690525548,4178.346528902861,9.05658859641061,21168330.64013094,133.0127394161456,327.3471296364091
2020-04-07,MG,34.0,11.0,559.0,493.5823232112571,4279.472436436429,8.652699936080174,21168297.417676784,139.86462892411618,353.7176942871408
2020-04-08,MG,55.0,14.0,614.0,528.5160976564788,7307.4975598766705,13.800331268903891,21168262.48390234,147.0694211551721,381.4466765013065
2020-04-09,MG,41.0,15.0,655.0,565.249337910313,8055.181345537181,14.225502453149048,21168225.750662085,154.6452884588063,410.6040494515067
2020-04-10,MG,43.0,17.0,698.0,603.8747034126797,8859.57145765102,14.646953175038831,21168187.12529658,162.6113333030364,441.2633701096432
2020-04-11,MG,52.0,17.0,750.0,644.4896517659828,11132.433584463579,17.246494276099654,21168146.51034823,170.9876467636349,473.5020050023477
2020-04-12,MG,56.0,20.0,806.0,687.1966276318949,14114.24128603464,20.509024193568283,21168103.803372364,179.79534741904362,507.4012802128511
2020-04-13,MG,9.0,23.0,815.0,732.1033994799567,6871.846377779644,9.37363867450941,21168058.896600515,189.0566506181865,543.0467488617702
2020-04-14,MG,69.0,27.0,884.0,779.323222518664,10957.227743877129,14.041909080329916,21168011.67677748,198.79490204596377,580.5283204727002
2020-04-15,MG,19.0,30.0,903.0,828.9751446250594,5479.679213280866,6.6022208601876935,21167962.02485537,209.0346406557918,619.9405039692674
2020-04-16,MG,55.0,33.0,958.0,881.1844250630895,5900.63255288811,6.68866099338143,21167909.815574933,219.80168474540793,661.3827403176815
2020-04-17,MG,63.0,35.0,1021.0,936.0827594615956,7210.937740657227,7.6950916745072755,21167854.917240534,231.12317828226043,704.9595811793351
2020-04-18,MG,56.0,39.0,1077.0,993.8086336453591,6920.803435952074,6.956919353013257,21167797.191366352,243.0276636617183,750.7809699836406
2020-04-19,MG,77.0,39.0,1154.0,1054.5076147066877,9898.734731352903,9.378174627478776,21167736.49238529,255.54514151650602,798.9624731901816
2020-04-20,MG,35.0,41.0,1189.0,1118.332772418256,4993.857054090015,4.461458805767891,21167672.66722758,268.70715739283924,849.6256150254166
2020-04-21,MG,41.0,44.0,1230.0,1185.4450600662374,1985.1426725011954,1.6731855012236037,21167605.554939933,282.54688003436735,902.8981800318699
2020-04-22,MG,53.0,47.0,1283.0,1256.0137108218491,728.2598036067819,0.579357088420808,21167534.986289173,297.09918276094794,958.9145280609011
2020-04-23,MG,25.0,51.0,1308.0,1330.2166542701466,493.5797269592228,0.3707734014414303,21167460.783345725,312.400729116053,1017.8159251540935
2020-04-24,MG,111.0,54.0,1419.0,1408.2409543493789,115.75706331214981,0.08214142723775208,21167382.759045646,328.4900628510073,1079.7508914983714
2020-04-25,MG,62.0,58.0,1481.0,1490.283330445306,86.180224156747,0.057789302942864024,21167300.71666955,345.4077148527012,1144.8756155926048
2020-04-26,MG,67.0,61.0,1548.0,1576.5506153423635,815.1376364276005,0.5167109242011214,21167214.449384652,363.1962972407817,1213.3543181015816
2020-04-27,MG,38.0,62.0,1586.0,1667.260251346877,6603.228448957643,3.958152478683406,21167123.739748646,381.9006052597228,1285.3596460871538
2020-04-28,MG,63.0,71.0,1649.0,1762.6408889424313,12914.251639625998,7.322495027527991,21167028.359111052,401.5677400132294,1361.0731489292016
2020-04-29,MG,109.0,80.0,1758.0,1862.932935465449,11010.920945396078,5.907358969783162,21166928.067064527,422.24722110367617,1440.6857143617722
2020-04-30,MG,69.0,82.0,1827.0,1968.3891230718825,19990.884123035943,10.150804576321548,21166822.610876925,443.99110322294564,1524.3980198489362
2020-05-01,MG,108.0,88.0,1935.0,2079.2752026113108,20815.33408853477,10.006048268231948,21166711.724797383,466.8541182842604,1612.42108432705
2020-05-02,MG,88.0,88.0,2023.0,2195.870596523177,29884.243142279065,13.603096691072574,21166595.129403472,490.8938093039162,1704.9767872192606
2020-05-03,MG,95.0,89.0,2118.0,2318.4690439020555,40187.83756300427,17.326309082959803,21166472.53095609,516.1706627449946,1802.2983811570598
2020-05-04,MG,229.0,90.0,2347.0,2447.3793990874547,10076.023761158493,4.115384962360805,21166343.62060091,542.748271936484,1904.6311271509703
2020-05-05,MG,105.0,94.0,2452.0,2582.926411960771,17141.725348921525,6.6339835645372744,21166208.073588032,570.6934968562686,2012.232915104502
2020-05-06,MG,153.0,97.0,2605.0,2725.451463776612,14508.55512592846,5.32140598088314,21166065.548536215,600.076615010663,2125.3748487659486
2020-05-07,MG,165.0,106.0,2770.0,2875.3134820855153,11090.929508976144,3.855952968288594,21165915.68651791,630.9715084491542,2244.3419736363608
2020-05-08,MG,173.0,111.0,2943.0,3032.8898717481416,8080.189042897338,2.663309936903377,21165758.110128246,663.4558540842016,2369.43401766394
2020-05-09,MG,180.0,118.0,3123.0,3198.5773546799674,5711.936540421584,1.785215954246842,21165592.422645316,697.6112957752684,2500.9660589046985
2020-05-10,MG,114.0,119.0,3237.0,3372.7930204655368,18439.744407153685,5.465582593626105,21165418.206979528,733.5236588042811,2639.269361661255
2020-05-11,MG,83.0,121.0,3320.0,3555.9754322722397,55684.40463607038,15.654987136219408,21165235.024567723,771.2831755088685,2784.6922567633706
2020-05-12,MG,115.0,127.0,3435.0,3748.5855885196997,98335.92132724644,26.22581056112617,21165042.414411478,810.984682197309,2937.6009063223905
2020-05-13,MG,298.0,135.0,3733.0,3951.1081282482155,47571.155607940025,12.036906396340449,21164839.891871747,852.727864860187,3098.3802633880277
2020-05-14,MG,217.0,139.0,3950.0,4164.052635589762,45818.53080292338,11.00070870927555,21164626.947364405,896.6175247217408,3267.4351108680207
2020-05-15,MG,246.0,146.0,4196.0,4387.954750690862,36846.626312791006,8.395307859346465,21164403.045249302,942.7638054782351,3445.1909452126274
2020-05-16,MG,278.0,150.0,4474.0,4623.377549876472,22313.652407097783,4.825222890309602,21164167.622450117,991.2824741846446,3632.095075691828
2020-05-17,MG,137.0,156.0,4611.0,4870.913076292532,67554.80722784778,13.866176627119994,21163920.086923704,1042.2952320570018,3828.617844235531
2020-05-18,MG,84.0,161.0,4695.0,5131.1836311004845,190256.16004000354,37.071191078797625,21163659.816368893,1095.929978211722,4035.2536528887626
2020-05-19,MG,282.0,167.0,4977.0,5404.84335160353,183049.93351134198,33.86149423975521,21163386.156648394,1152.3211302596646,4252.522221343865
2020-05-20,MG,309.0,177.0,5286.0,5692.579998849874,165307.29546476342,29.03398134357578,21163098.420001145,1211.6099862355604,4480.9700126143125
2020-05-21,MG,310.0,191.0,5596.0,5995.116466440601,159293.95378403104,26.566187410730983,21162795.883533556,1273.9450322056462,4721.171434234954
2020-05-22,MG,399.0,201.0,5995.0,6313.212582595853,101259.24772232247,16.036718181048872,21162477.7874174,1339.4823076180937,4973.730274977758
2020-05-23,MG,343.0,217.0,6338.0,6647.667188326325,95893.76752593178,14.423006116820117,21162143.33281167,1408.3858246754505,5239.281363650873
2020-05-24,MG,330.0,226.0,6668.0,6999.319908820294,109772.88198068771,15.681123635846356,21161791.680091176,1480.8279285797958,5518.491980240497
2020-05-25,MG,294.0,230.0,6962.0,7369.053208614032,165692.31464297863,22.481834249082407,21161421.94679138,1556.989713268423,5812.063495345609
2020-05-26,MG,554.0,234.0,7516.0,7757.794797747574,58464.72421779031,7.535284247337352,21161033.205202248,1637.0615051524558,6120.733292595119
2020-05-27,MG,495.0,240.0,8011.0,8166.519718687683,24186.382900696073,2.9612885837736576,21160624.48028131,1721.243286165156,6445.276432522527
2020-05-28,MG,675.0,255.0,8686.0,8596.252687515173,8054.580098249272,0.9368783716158577,21160194.74731248,1809.7451661903585,6786.507521324813
2020-05-29,MG,546.0,257.0,9232.0,9048.070869166228,33829.92516926698,3.738497096374717,21159742.92913083,1902.787938628141,7145.282930538085
2020-05-30,MG,398.0,263.0,9630.0,9523.106342262528,11426.254064495719,1.1997192863956745,21159267.893657733,2000.6035779849217,7522.502764277606
2020-05-31,MG,834.0,271.0,10464.0,10022.548763405162,194879.1942911113,19.44213560396824,21158768.45123659,2103.4357760490766,7919.112987356084
2020-06-01,MG,206.0,278.0,10670.0,10547.64855658239,14969.875706372726,1.4191273532410442,21158243.351443414,2211.540577290373,8336.107979292014
2020-06-02,MG,269.0,289.0,10939.0,11099.719828612098,25830.863309102268,2.3269539010004765,21157691.280171383,2325.186964326409,8774.532864285688
2020-06-03,MG,1071.0,306.0,12010.0,11680.143398403086,108805.377617065,9.314617063252525,21157110.856601592,2444.6574657456904,9235.485932657391
2020-06-04,MG,1024.0,323.0,13034.0,12290.370449909291,552984.9077681103,44.98968687191357,21156500.62955009,2570.2488798977033,9720.121570011586
2020-06-05,MG,961.0,344.0,13995.0,12931.925982071476,1130126.3675946957,87.38365696682683,21155859.074017923,2702.2729631049406,10229.653018966535
2020-06-06,MG,944.0,368.0,14939.0,13606.412250344378,1775790.1105322354,130.501676429131,21155184.587749653,2841.057117989525,10765.355132354849
2020-06-07,MG,764.0,376.0,15703.0,14315.512937114723,1925120.349674012,134.46852303560948,21154475.48706288,2986.9452147393963,11328.567722375323
2020-06-08,MG,180.0,380.0,15883.0,15060.997231799754,675688.5509288666,44.860488322379595,21153730.002768196,3140.2983982598234,11920.698833539927
2020-06-09,MG,219.0,399.0,16102.0,15844.723738024179,66191.07497625149,4.177220054481711,21152946.27626197,3301.495866922354,12543.227871101819
2020-06-10,MG,1399.0,409.0,17501.0,16668.645221076196,692814.477997294,41.56144109901854,21152122.35477892,3470.9358010456535,13197.70942003054
2020-06-11,MG,947.0,431.0,18448.0,17534.81342406472,833909.7224684017,47.554664406044154,21151256.18657593,3649.0363057826276,13885.777118282087
2020-06-12,MG,1658.0,446.0,20106.0,18445.383500226315,2757647.1593206055,149.49527419761017,21150345.616499767,3836.236291292042,14609.147208934273
2020-06-13,MG,508.0,454.0,20614.0,19402.61941472448,1467442.9223824646,75.62727813909255,21149388.38058527,4032.9965207142604,15369.622894010217
2020-06-14,MG,767.0,475.0,21381.0,20408.89958747723,944979.2120269397,46.30004219162081,21148382.100412518,4239.80070136676,16169.098886110467
2020-06-15,MG,347.0,481.0,21728.0,21466.72194338151,68266.222870334,3.179947227301425,21147324.278056614,4457.156482942789,17009.56546043872
2020-06-16,MG,296.0,502.0,22024.0,22578.710045682285,307703.2347808422,13.627421882668578,21146212.289954316,4685.5966363873895,17893.113409294896
2020-06-17,MG,1323.0,537.0,23347.0,23747.619652970065,160496.10634585502,6.758123574806714,21145043.380347025,4925.680303668958,18821.93934930111
2020-06-18,MG,1559.0,570.0,24906.0,24976.344504005316,4948.349243753874,0.19811350413813478,21143814.65549599,5177.99413388373,19798.350370121585
2020-06-19,MG,1146.0,600.0,26052.0,26267.923261521242,46622.85486597077,1.7748293069272467,21142523.076738473,5443.153603751798,20824.76965776945
2020-06-20,MG,1253.0,636.0,27305.0,27625.547072417467,102750.42563540855,3.719264132649978,21141165.45292758,5721.804434194355,21903.742638223117
2020-06-21,MG,336.0,661.0,27641.0,29052.566220080764,1992519.1936730952,68.58088189862004,21139738.433779914,6014.623885422426,23037.942334658343
2020-06-22,MG,1277.0,688.0,28918.0,30552.49796287927,2671583.5906564887,87.43953291051349,21138238.502037115,6322.322229495948,24230.175733383327
