date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,mortes_pred,sucetivel,exposto,Infectado_assintomatico,Infectado_sintomatico,Hospitalizado,UTI,recuperado
2020-03-20,MS,3,0,12,7.099063243360652,12.012934383412484,4.223198976656132,0.08177820153532883,2778899.997954418,33.52211845373438,16.731267942912808,6.329768535374983,0.3632172090277448,0.2557403991753271,28.718154840106443
2020-03-21,MS,4,0,16,8.829518927950087,25.713411965128003,8.204991258584156,0.10500059823609212,2778889.1506372406,35.71715720800419,18.601999479826297,6.46137886680262,0.4003559018684108,0.27585803566689343,35.2876126686795
2020-03-22,MS,5,0,21,10.669146916403255,53.37172848137448,15.62946666577319,0.13012120460779172,2778877.7974796146,37.87217489176835,20.387023269992973,6.662280084901131,0.43540724526539865,0.29467565548551505,42.420838033092856
2020-03-23,MS,0,0,21,12.617550161196043,35.14506283722761,9.532021730870065,0.1570362199963342,2778865.862715203,40.06492307975627,22.109385117198013,6.913660871071418,0.46937025594260595,0.31305635190582864,50.10985290119542
2020-03-24,MS,3,0,24,14.677460646742233,43.47211710117735,10.990739458431433,0.18572616755576551,2778853.305623066,42.32246278866196,23.791787773617752,7.208532907136247,0.5027570512665164,0.3313781247475456,58.35173212071674
2020-03-25,MS,0,0,24,16.852582644433657,25.566156053339657,6.066488772103124,0.2161880015827343,2778840.0801275177,44.67234834868704,25.456819363489842,7.540273125516451,0.5360879277033819,0.3500110639356373,67.14814465126963
2020-03-26,MS,1,0,25,19.148173394714387,17.15280135102857,3.842100300148165,0.24845137095335518,2778826.142171791,47.132350324415015,27.126782915305863,7.905007953239395,0.5697896075149748,0.3692199908970035,76.50622604699075
2020-03-27,MS,3,0,28,21.569832339020124,20.713449194853812,4.386865000937166,0.28256369440573226,2778811.451979113,49.714248280666666,28.819976102139687,8.30072762620275,0.6041848972788189,0.3891860114532151,86.43713427494983
2020-03-28,MS,3,0,31,24.123745088838593,23.69218958086679,4.7608241816307295,0.31858681463960475,2778795.968029412,52.428634232320896,30.552781552975972,8.726168214763133,0.6395623081662071,0.4100619104514464,96.956175554526
2020-03-29,MS,5,0,36,26.817552070057683,42.222260017599616,8.047917302653676,0.3566090984499729,2778779.6415726217,55.28605611655936,32.340370440360374,9.180897219619592,0.6761934793828666,0.4319806103810955,108.0863204134239
2020-03-30,MS,8,0,44,29.661462378480056,102.87553993149412,18.631100184394096,0.39676030452330374,2778762.409541573,58.29853562313136,34.197830429531,9.665385512259471,0.7143565576014055,0.455069284912395,119.86252071490209
2020-03-31,MS,4,1,48,32.65735572479966,117.85569093001999,20.418735221248774,0.4390646162862003,2778744.2603383,61.46827216450335,36.12777010120322,10.179743091369025,0.7540999834428611,0.4793505490902893,132.29136119393607
2020-04-01,MS,3,1,51,35.818584792956514,115.3709680222048,19.100996981804098,0.48369741840815506,2778725.111642632,64.8108224916548,38.146523398179525,10.725029990593042,0.7957319115910205,0.5049764894835911,145.42157566785662
2020-04-02,MS,2,1,53,39.15063667403965,96.01253906639636,15.224028916400625,0.5307307826660067,2778704.9296262935,68.33257942493982,40.26080251648005,11.301681815326848,0.8393789737273526,0.5320096038538172,159.27319058947353
2020-04-03,MS,7,1,60,42.65894044706954,150.4442726062415,22.825492960801107,0.5802395990541369,2778683.681085682,72.03960117114408,42.475377337114786,11.910409818940527,0.8851378377294075,0.5604998289016674,173.86764872493654
2020-04-04,MS,2,1,62,46.36840778850271,122.24084085242434,17.804207970020357,0.6325675051034841,2778661.2136639464,75.95968619972842,44.81213476429147,12.55447763303112,0.9334520703384656,0.5906763023734236,189.30334157870493
2020-04-05,MS,3,1,65,50.268714411853104,108.55419286082935,15.191492978502522,0.6875729811392016,2778637.590649261,80.081167768159,47.2615092873745,13.232621948576023,0.9841293136313923,0.6224405914327285,205.5399088484411
2020-04-06,MS,1,1,66,54.3775238707184,67.57335971374442,9.100638514629514,0.7455043187631096,2778612.7047692873,84.42300044747738,49.83645930301627,13.947618712382733,1.037439946829242,0.6559372092460031,222.649270774684
2020-04-07,MS,14,2,80,58.70962090217702,227.35226049043058,29.860005361607108,0.806568455317351,2778586.4660903024,89.00119427521692,52.5483213893924,14.701703028169899,1.0936187305201805,0.6912905535242647,240.6912132652904
2020-04-08,MS,5,2,85,63.278873089033624,236.54104290167112,29.889891963890825,0.8709599116795904,2778558.790394706,93.83062893740444,55.407396230335614,15.49703900946263,1.1528785085653395,0.7286156912580883,259.7220870051963
2020-04-09,MS,4,2,89,68.09703967486108,219.02989844268686,26.686193968561863,0.938846603434756,2778529.607096144,98.92309457044772,58.42027694408502,16.335886381971537,1.2153547450408626,0.7679987755982219,279.7914458355044
2020-04-10,MS,8,2,97,73.1767351624915,284.26362067559444,33.29406723267051,1.0104072387492613,2778498.840078673,104.29163460333602,61.595060642997645,17.22046608580494,1.2812142935529038,0.8095376887515635,300.95160077393064
2020-04-11,MS,3,2,100,78.53129020362701,230.87060315340287,26.13053584068369,1.0858304391831441,2778466.4089079807,109.95003009009594,64.94041648809522,18.15311181594595,1.350634612301533,0.8533366869561251,323.25773188698247
2020-04-12,MS,1,2,101,84.17705497600164,141.8540617142568,15.569202261732634,1.16534788801412,2778432.215391662,115.91472254705367,68.46643453371605,19.136842093304164,1.423815263644216,0.8995219308385177,346.7779240818205
2020-04-13,MS,12,4,113,90.12925987877571,265.3188951133833,29.91971398059364,1.2491752992623808,2778396.1679228256,122.20116686924197,72.1826779018671,20.174421473964518,1.5009476127042893,0.9482114578746447,371.57547655953505
2020-04-14,MS,2,4,115,96.40339142217267,176.46129415561325,19.838909567632086,1.337531650083768,2778358.173192792,128.82523918558593,76.09899229653774,21.268612990728602,1.5822299352624325,0.9995272767571475,397.714673872823
2020-04-15,MS,6,4,121,103.0186465595526,164.96522233997362,17.9681835317417,1.4306862531684759,2778318.1147755454,135.8073807455099,80.22804327706812,22.422626231865284,1.6679210364194412,1.0536323155438188,425.2749345950273
2020-04-16,MS,10,5,131,109.99298131036682,226.67171392135788,24.73186105691195,1.528891586810079,2778275.8839765135,143.16650602316727,84.58155332026247,23.639521438031558,1.7582594776332254,1.110675817073227,454.3306158233529
2020-04-17,MS,12,5,143,117.34450277053455,334.7726252495475,33.74708632703605,1.6324025763186103,2778231.3711313987,150.92174383670033,89.17117826355462,24.922392890653118,1.8534844892716382,1.1708076297045829,484.9568589144996
2020-04-18,MS,18,5,161,125.09577753999524,649.8653835331994,60.60611033059653,1.7415376925781865,2778184.4385733604,159.0979280277926,94.01057162778139,26.274993184806664,1.9538942811866795,1.2342186491380427,517.2482831758147
2020-04-19,MS,7,5,168,133.26789503519814,608.1000571600055,54.97616259509806,1.8565943573893298,2778134.9579112283,167.71800268389745,99.1127252133443,27.700856853189727,2.0597675266361795,1.3010861743925874,551.2930559623679
2020-04-20,MS,3,5,171,141.88143263734682,428.5121395152857,38.113151288555144,1.9778627137073501,2778082.80398265,176.80424325141138,104.49040046373959,29.2034456827096,2.171376022661812,1.3715826326729328,587.1771065825723
2020-04-21,MS,2,6,173,150.96203797873181,250.4186478310035,24.001813009535798,2.105706018910731,2778027.8204649305,186.38473426412645,110.1585810259617,30.787111447679194,2.289053430080492,1.4459192099166867,625.0084296724398
2020-04-22,MS,2,6,175,160.5358946563663,111.6721096441501,12.15613289413551,2.2404952591375094,2777969.847741485,196.48817432126503,116.13248545108796,32.45630000095798,2.4131399491882592,1.524311189159049,664.8973523436304
2020-04-23,MS,11,7,186,170.62737053317224,128.81917408253676,14.815538711483981,2.3825752371378726,2777908.7373547233,207.1411816994297,122.42653648529765,34.21513847736852,2.5439536259215765,1.606959973343005,706.946299778122
2020-04-24,MS,27,7,213,181.26437412005342,513.5549668015369,42.61043286014193,2.532340253428137,2777844.320023139,218.37349534899238,129.05770948878592,36.06844316904039,2.6818565475969054,1.694093476632605,751.2720385761127
2020-04-25,MS,4,7,217,192.47952762989732,309.91375297949014,26.447196020876465,2.690250505422474,2777776.3987421324,230.21900880621192,136.04637814369673,38.021947850491124,2.827269434284181,1.7859749078599827,798.0104282190615
2020-04-26,MS,17,7,234,204.30193544285285,449.57091618071325,35.14794055207346,2.8567170117228504,2777704.7971968316,242.7085150425895,143.41037996670383,40.08070157972615,2.9805692484673822,1.8828411354693328,847.2830791835041
2020-04-27,MS,4,9,238,216.7620881473801,243.33196554190468,24.150956184009914,3.0321669574160794,2777629.335189795,255.86975855633182,151.17124026758063,42.250568965040905,3.142134030284322,1.9849228351698622,899.2140185927382
2020-04-28,MS,2,9,240,229.89892856073396,67.73659460992023,11.499639791129049,3.2171334963804976,2777549.7984128897,269.7223333948487,159.36660086346808,44.5410268684728,3.312388186758107,2.09245592576921,953.9496483741505
2020-04-29,MS,9,9,249,243.74938199872275,29.396504337150972,8.31358494445906,3.412154325774084,2777465.9393182015,284.32916089295185,168.00480491745046,46.955322566680884,3.4919020765116566,2.205843147483558,1011.6614938710427
2020-04-30,MS,6,9,255,258.3455801635598,20.081116728278595,7.088080041397488,3.617683879057989,2777377.5621077963,299.7253804743008,177.10490581368208,49.49885268648683,3.681096874285437,2.325352432640197,1072.4846200429763
2020-05-01,MS,6,9,261,273.73691346262785,94.45611312176501,10.961607946276601,3.834415648829323,2777284.373050132,315.95777164291746,186.70058868423095,52.18084885448336,3.8805921612233716,2.451366072479235,1136.6213668032226
2020-05-02,MS,5,9,266,289.9615722265938,299.2660012559703,22.246420663193376,4.062889616215722,2777186.1397209493,333.0678070058057,196.8146752016321,55.007750129076925,4.090887494017548,2.5842018788152776,1204.232067724541
