date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,sucetivel,exposto,infectado,recuperado
2020-06-16,RS,1033,374,16471,16380.743179745732,8146.293602411233,63.64730248063473,11357508.388620982,3360.7013986260795,2689.9517999168665,13690.791379828866
2020-06-17,RS,657,387,17128,17064.755170323453,3999.908480815433,30.618738890515388,11356689.761973843,3495.8227519293414,2798.1127365376856,14266.642433785766
2020-06-18,RS,694,406,17822,17776.275689519312,2090.7125689343147,15.680565697481134,11355838.275426501,3636.316775516461,2910.622728341728,14865.652961177584
2020-06-19,RS,765,423,18587,18516.432397695557,4979.786494998089,36.59488099246079,11354952.645902283,3782.3397474986464,3027.7014115635093,15488.730986132046
2020-06-20,RS,551,430,19138,19286.350747173892,22007.94418705207,158.46858747685286,11354031.522463327,3934.118034830234,3149.517943240785,16136.832803933108
2020-06-21,RS,210,434,19348,20087.14954465018,546342.0493565677,3854.736188103423,11353073.411936352,4092.02692420734,3276.1343870591845,16811.015157590995
2020-06-22,RS,362,458,19710,20920.08376147465,1464302.7097846346,10123.688575402228,11352076.87124938,4256.255481722263,3407.783490167849,17512.300271306798
2020-06-23,RS,1154,477,20864,21786.452934817273,850919.4169529997,5764.812717618093,11351040.398379328,4427.007196004178,3544.7004556823017,18241.75247913497
2020-06-24,RS,1145,500,22009,22687.575815677814,460465.1376228103,3056.9837981111436,11349962.387696292,4604.569988055622,3687.06609954028,19000.509716137534
2020-06-25,RS,1051,500,23060,23624.833033354967,319036.3555689738,2075.614091036305,11348841.190552006,4789.212959246112,3835.092113276978,19789.74092007799
2020-06-26,RS,NA,NA,NA,24599.668771713346,NA,NA,11347675.104954867,4981.195043898551,3989.0153669200886,20610.65340479326
2020-06-27,RS,NA,NA,NA,25613.577856950033,NA,NA,11346462.355483087,5180.798008745381,4149.070808776274,21464.507048173757
2020-06-28,RS,NA,NA,NA,26668.10941968555,NA,NA,11345201.092562942,5388.323514492093,4315.494541428087,22352.61487825746
2020-06-29,RS,NA,NA,NA,27764.872340531376,NA,NA,11343889.397832723,5604.082307231696,4488.532983534337,23276.33935699704
2020-06-30,RS,NA,NA,NA,28905.542421432227,NA,NA,11342525.279541533,5828.391652968385,4668.446654134127,24237.0957672981
2020-07-01,RS,NA,NA,NA,30091.859690564335,NA,NA,11341106.668707473,6061.581874625286,4855.50471366453,25236.354976899805
2020-07-02,RS,NA,NA,NA,31325.632595007053,NA,NA,11339631.413949322,6303.9973312389475,5049.985375250638,26275.647219756414
2020-07-03,RS,NA,NA,NA,32608.73252261282,NA,NA,11338097.28966507,6555.99371274902,5252.176248196857,27356.55627441596
2020-07-04,RS,NA,NA,NA,33943.123959139826,NA,NA,11336501.960735075,6817.943204392375,5462.378831624319,28480.745127515507
2020-07-05,RS,NA,NA,NA,35330.82821487638,NA,NA,11334843.025132569,7090.228120128774,5680.903077148442,29649.925137727943
2020-03-12,SC,2,0,2,1.9999999999999998,4.930380657631324e-32,2.8465565998907693e-32,7164786,0,1.9999999999999998,0
2020-03-13,SC,1,0,3,2.2008283248545935,0.6386753663547152,0.35698418372170876,7164783.925431916,1.8737464301226712,1.838333701362414,0.36249462349217965
2020-03-14,SC,2,0,5,2.7512205435577153,5.0570090437168576,2.6110033631828613,7164781.834871677,3.4139342379778426,2.0234238699386116,0.7277966736191039
2020-03-15,SC,1,0,6,3.6216453374733852,5.6565709007620875,2.6312064652026046,7164779.3918298045,4.986585485700432,2.4669453394284298,1.1546999980449557
2020-03-16,SC,1,0,7,4.84383032799491,4.649067654474537,1.9231673054144636,7164776.332156248,6.824125637711684,3.1544694229251737,1.6893609050697358
2020-03-17,SC,0,0,7,6.492636317632517,0.2574179061854924,0.09404190693519118,7164772.368921418,9.138628277916835,4.110718624055363,2.3819176935771535
2020-03-18,SC,7,0,14,8.706155964300036,28.02478467431608,8.995362130960673,7164767.133848522,12.160285264181216,5.40943087906981,3.296725085230226
2020-03-19,SC,7,0,21,11.634500284399703,87.71258492290924,24.67646101247138,7164760.257785759,16.10814555702089,7.136208936300262,4.498291348099441
2020-03-20,SC,19,0,40,15.470823186233595,601.6805151610154,148.25464013444923,7164751.271388623,21.258410234819383,9.402189786671165,6.0686333995624295
2020-03-21,SC,17,0,57,20.6130355686076,1324.0111805314157,284.7959233539125,7164739.231277992,28.156568947459544,12.440429648900114,8.172605919707484
2020-03-22,SC,11,0,68,27.287604926539792,1657.499112617507,311.6414494727341,7164723.609134575,37.104485623931964,16.385071304441016,10.902533622098778
2020-03-23,SC,18,0,86,36.10373260742737,2489.637499711107,408.7213424161125,7164702.975492437,48.92245755079795,21.595515363032895,14.508217244394471
2020-03-24,SC,23,0,109,47.77684089596798,3748.275210677619,536.6913999615934,7164675.659554669,64.56589769960193,28.495205674543087,19.281635221424892
2020-03-25,SC,13,0,122,63.16651058290635,3461.3794769912706,432.11068256778617,7164639.653091207,85.18350141920385,37.592772565549666,25.573738017356682
2020-03-26,SC,27,1,149,83.46459750899808,4294.88897965762,467.3202319791721,7164592.1700042,112.36957462388894,49.593175983319085,33.87142152567899
2020-03-27,SC,14,1,163,110.20850923225979,2786.9414974804004,264.2766802683943,7164529.610573831,148.1865120438496,65.40472441773323,44.803784814526544
2020-03-28,SC,21,1,184,145.44949039428693,1486.1417908601761,122.80507494350746,7164447.170307796,195.38767138896964,86.23899108884117,59.21049930544575
2020-03-29,SC,13,1,197,187.612797931393,88.11956267685946,6.416330919040321,7164400.566260975,199.83090084239228,109.53795454857251,78.07484338282048
2020-03-30,SC,22,2,219,227.90891443847568,79.36875647208038,5.245878444307869,7164368.74313778,191.36114368263782,127.13818957846709,100.7707248600086
2020-03-31,SC,16,2,235,266.9944497402623,1023.644814182172,62.52970657952487,7164332.746073372,188.27678395399624,140.55140995969546,126.44303978056688
2020-04-01,SC,12,2,247,305.85353771504333,3463.7389015760277,197.73319323147635,7164293.550740777,188.61811648816627,151.45712833346184,154.39640938158152
2020-04-02,SC,34,5,281,345.04611838787685,4101.905280553937,220.50509896312454,7164251.666469931,191.31594461113264,160.77826277587474,184.2678556120021
2020-04-03,SC,20,5,301,384.9673749976132,7050.520063989799,358.87718914618324,7164207.415460183,195.652949990863,169.13958777652257,215.82778722109066
2020-04-04,SC,55,10,356,425.9096044463608,4887.352793846628,236.540617913501,7164161.002036415,201.13256980424867,176.9789696853236,248.9306347610372
2020-04-05,SC,23,10,379,468.0809720472914,7935.419580890316,366.39200343843,7164112.533610158,207.43928201493364,184.58106114069628,283.4999109065951
2020-04-06,SC,38,11,417,511.62514678191314,8953.918403498608,395.469667766226,7164062.041840272,214.3978108953543,192.11201881050675,319.5131279714064
2020-04-07,SC,40,15,457,556.6627049535416,9932.654758656687,420.60994782655376,7164009.522703164,221.89165776600026,199.68946491476459,356.9732400387771
2020-04-08,SC,44,17,501,603.2889132790364,10463.021779806222,425.63253348907386,7163954.95501272,229.84679077657836,207.3934843098174,395.895428969219
2020-04-09,SC,192,18,693,651.6119498978328,1712.9706912595022,67.05364971464836,7163898.288739688,238.2051251387748,215.29648490590407,436.3154649919287
2020-04-10,SC,24,18,717,701.6995870430959,234.10263665179878,8.831235292882207,7163839.470068845,246.95275156481307,223.42779419135428,478.2717928517416
2020-04-11,SC,15,21,732,753.627297586243,467.74000088391244,17.027004725721405,7163778.438607065,256.0746436119953,231.81974061110068,521.8075569751423
2020-04-12,SC,44,24,776,807.4764548029693,990.7672069633709,34.84479672823005,7163715.120866809,265.5629758367432,240.501204263159,566.9752505398103
2020-04-13,SC,50,26,826,863.3277190792115,1393.3586116565327,47.394035068016,7163649.431939394,275.42206036343185,249.49220142697004,613.8355176522415
2020-04-14,SC,27,28,853,921.2545885648553,4658.688860157681,153.40456865485285,7163581.290504318,285.65977904370044,258.80814935388906,662.4464392109662
2020-04-15,SC,31,29,884,981.3249835056101,9472.152414367285,302.2185257844002,7163510.62006233,296.2847663181401,268.4623304655833,712.8626530400268
2020-04-16,SC,42,30,926,1043.6438568438273,13840.077053090927,428.20760947660864,7163437.300449929,307.3123190800883,278.473871146831,765.1699856969963
2020-04-17,SC,36,31,962,1108.2527002046227,21389.852317143235,642.2328839505159,7163361.282985272,318.7496620903934,288.8494854062121,819.4032147984104
2020-04-18,SC,13,32,975,1175.2610131065578,40104.47337046492,1169.3404320806667,7163282.441187701,330.61386694869486,299.6083278607142,875.6526852458436
2020-04-19,SC,50,35,1025,1244.7684049771021,48298.15182617957,1368.3961899740918,7163200.660295668,342.9201679648938,310.7680356391015,934.0003693380006
2020-04-20,SC,38,35,1063,1316.874349802953,64452.18548787215,1775.4181104385154,7163115.825595899,355.68388653926974,322.3461438083043,994.5282059946488
2020-04-21,SC,28,37,1091,1391.6755896991635,90405.81024093974,2422.542255635868,7163027.823348893,368.9221007051479,334.35812882448863,1057.317460874675
2020-04-22,SC,24,39,1115,1469.2693202471703,125506.75126839211,3273.1705917362087,7162936.539653512,382.6515969103998,346.8198088548889,1122.4495113922815
2020-04-23,SC,55,42,1170,1549.7534811738483,144212.70646365633,3662.116407020372,7162841.860343367,396.888683106599,359.7475628199551,1190.005918353893
2020-04-24,SC,39,42,1209,1633.2277869641337,179969.21523248637,4451.864399748402,7162743.668874379,411.65027175926303,373.15784345213007,1260.0699435120036
2020-04-25,SC,26,42,1235,1719.814920317149,235045.50696212356,5666.108314518174,7162641.817931361,426.9610987133517,387.0680587293685,1332.7468615877806
2020-04-26,SC,102,43,1337,1809.631340825556,223380.38433056287,5249.645982218019,7162536.168536378,442.8437801138446,401.4953578113089,1408.1359830142471
2020-04-27,SC,139,44,1476,1902.7885633958144,182148.47784546312,4174.612695882444,7162426.588336023,459.31924785826226,416.4566842086325,1486.3318791871818
2020-04-28,SC,519,44,1995,2000.3191073282317,28.292902769247817,0.6324400090441141,7162311.848465837,476.5847134153143,432.1063036149578,1568.2128037132738
2020-04-29,SC,90,46,2085,2099.948231652552,223.44962953835272,4.874970178109988,7162194.656584338,494.2053505082963,448.1046226850982,1651.8436089674535
2020-04-30,SC,309,48,2394,2203.6319549763875,36239.992566112145,771.8271492146057,7162072.683982073,512.5554914720567,464.7433217450455,1738.888633231342
2020-05-01,SC,-290,50,2104,2311.370277299739,43002.431907370636,894.2610755046696,7161945.930659039,531.6351363065955,482.0224007947997,1829.3478765049392
2020-05-02,SC,242,52,2346,2423.1790039089465,5956.598644377174,120.98067286104637,7161814.379217198,551.4458905661816,499.9452216350799,1923.2337822738666
2020-05-03,SC,173,52,2519,2539.1581076335647,406.34930336637814,8.06248918109837,7161677.9195594,571.9979595672579,518.5330142863531,2020.6250933472115
2020-05-04,SC,104,55,2623,2659.461092718246,1329.4112822085435,25.773945396732085,7161536.381519863,593.3081295245622,537.8176066702272,2121.643486048019
2020-05-05,SC,172,58,2795,2784.243645532957,115.69916142067399,2.192293091040642,7161389.584832362,615.4011093523025,557.8257897856809,2226.417855747276
2020-05-06,SC,122,59,2917,2913.643346887951,11.267120114629018,0.20869892616026472,7161237.366094912,638.302835677559,578.5783003436055,2335.0650465443455
2020-05-07,SC,165,63,3082,3047.8367747727734,1167.1259579262103,21.13735498812943,7161079.515410214,662.0467760938808,600.1016062810894,2447.735168491684
2020-05-08,SC,123,63,3205,3187.032213903904,322.84133719506093,5.717784551097718,7160915.78533562,686.67226335391,622.427046220342,2564.605167683562
2020-05-09,SC,167,64,3372,3331.4250177048634,1646.329188250647,28.519143922699143,7160745.944504045,712.2154749144255,645.5844954845452,2685.8405222203182
2020-05-10,SC,57,65,3429,3481.1944922346393,2724.2650196318177,46.166063206325774,7160569.781686922,738.7084833390549,669.6021399814559,2811.5923522531834
2020-05-11,SC,100,69,3529,3636.530064663651,11562.714806568976,191.715187293979,7160387.072956476,766.1859479498826,694.5092326528165,2942.0208320108345
2020-05-12,SC,204,73,3733,3797.640850150091,4178.439508126514,67.79536481444453,7160197.573415571,794.6838252645954,720.3396661652511,3077.30118398484
2020-05-13,SC,95,73,3828,3964.7483201206724,18700.103055825886,296.9486980334656,7160001.025029475,824.2388630454972,747.1302608066442,3217.618059314028
2020-05-14,SC,504,78,4332,4138.063652362436,37611.306934998,584.6115241551491,7159797.18064308,854.8872148297468,774.9153513037802,3363.1483010586558
2020-05-15,SC,230,79,4562,4317.825057238175,59621.40267274059,907.2341362986316,7159585.761372399,886.6697532028495,803.7335309297167,3514.0915263084585
2020-05-16,SC,116,81,4678,4504.274923934706,30180.40205389224,449.63941286686656,7159366.483428647,919.6280802432314,833.6240512638318,3670.650872670874
2020-05-17,SC,98,83,4776,4697.649648413827,6138.777593676925,89.55614021085775,7159139.069918731,953.8028905689268,864.6251186326997,3833.024529781127
2020-05-18,SC,399,85,5175,4898.22440732911,76604.72869832221,1094.4398868277754,7158903.1964997975,989.2435812148119,896.7796404870267,4001.444766842084
2020-05-19,SC,238,91,5413,5106.2654980050975,94086.05471406087,1316.5308499296875,7158658.5496932175,1025.9975566875491,930.1294478957916,4176.136050109306
