UF,city,date,ibgeID,mortes,newCases,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,sucetivel,infectado,recuperado 
SC,Florianópolis/SC,2020-06-04,4205407,7.0,17.0,727.0,845.3712413649793,14011.750782286175,481.62825277429704,504427.5471586349,81.46405023000935,763.9071911349699
SC,Florianópolis/SC,2020-06-05,4205407,7.0,32.0,759.0,861.5996710079415,10526.69249093784,358.41592042883786,504411.31872899196,81.90459799807253,779.695073009869
SC,Florianópolis/SC,2020-06-06,4205407,8.0,24.0,783.0,877.9152758717455,9008.909593809554,303.8776242218463,504395.00312412815,82.34700005878935,795.5682758129561
SC,Florianópolis/SC,2020-06-07,4205407,8.0,9.0,792.0,894.3184164074835,10469.058336135186,349.8797929632865,504378.5999835924,82.79125802104792,811.5271583864355
SC,Florianópolis/SC,2020-06-08,4205407,8.0,15.0,807.0,910.8094536044439,10776.402657653189,356.8796341365198,504362.10894639546,83.2373734127962,827.5720801916477
SC,Florianópolis/SC,2020-06-09,4205407,8.0,33.0,840.0,927.3887489901107,7636.793450056572,250.63753474640157,504345.52965100977,83.6853476810419,843.7034013090688
SC,Florianópolis/SC,2020-06-10,4205407,8.0,26.0,866.0,944.0566646301636,6092.8428931858325,198.19425210135736,504328.8617353698,84.13518219185256,859.921482438311
SC,Florianópolis/SC,2020-06-11,4205407,9.0,14.0,880.0,960.8135631284781,6530.831985520516,210.58288079040813,504312.10483687144,84.58687823035557,876.2266848981226
SC,Florianópolis/SC,2020-06-12,4205407,9.0,20.0,900.0,977.6598076271259,6031.045720682207,192.78655574356333,504295.2585923728,85.04043700073801,892.6193706263879
SC,Florianópolis/SC,2020-06-13,4205407,9.0,10.0,910.0,994.5957618063736,7156.442915600701,226.8066018762345,504278.3226381935,85.4958596262469,909.0999021801267
SC,Florianópolis/SC,2020-06-14,4205407,9.0,1.0,911.0,1011.6217898846846,10124.744599597623,318.17088984858304,504261.2966101152,85.953147149189,925.6686427354956
SC,Florianópolis/SC,2020-06-15,4205407,9.0,32.0,943.0,1028.7382566187175,7351.0486480170575,229.07931347871582,504244.1801433812,86.41230053093085,942.3259560877867
SC,Florianópolis/SC,2020-06-16,4205407,9.0,17.0,960.0,1045.9455273033268,7386.633663446893,228.2887541386669,504226.9728726966,86.87332065189887,959.072206651428
SC,Florianópolis/SC,2020-06-17,4205407,9.0,40.0,1000.0,1063.2439677715631,3999.799459490515,122.60766419819052,504209.6744322283,87.33620831157921,975.9077594599838
SC,Florianópolis/SC,2020-06-18,4205407,9.0,14.0,1014.0,1080.6339443946722,4440.082545592267,135.00532234707538,504192.2844556052,87.80096422851793,992.8329801661544
SC,Florianópolis/SC,2020-06-19,4205407,10.0,38.0,1052.0,1098.1158096512556,2126.667899790842,64.14723605239804,504174.8025903486,88.26758837641304,1009.8482212748427
SC,Florianópolis/SC,2020-06-20,4205407,10.0,42.0,1094.0,1115.6898915424983,470.4513951253412,14.078243362990785,504157.22850845737,88.73607949714984,1026.9538120453485
SC,Florianópolis/SC,2020-06-21,4205407,10.0,14.0,1108.0,1133.356549096577,642.9545820871226,19.08998136023168,504139.56185090326,89.20643765434627,1044.1501114422308
SC,Florianópolis/SC,2020-06-22,4205407,10.0,14.0,1122.0,1151.1161431646367,847.7497927836203,24.975808818318335,504121.8022568352,89.67866288978749,1061.4374802748491
SC,Florianópolis/SC,2020-06-23,4205407,13.0,59.0,1181.0,1168.9690348149966,144.7441232827645,4.2316891340066665,504103.9493651849,90.15275514954952,1078.8162796654472
SC,Florianópolis/SC,2020-06-24,4205407,13.0,27.0,1208.0,1186.9155853331504,444.55254184366356,12.898235662959733,504086.0028146667,90.62871428399922,1096.2868710491512
SC,Florianópolis/SC,2020-06-25,4205407,13.0,42.0,1250.0,1204.9561562217662,2028.9478623179364,58.4258618841449,504067.96224377805,91.1065400477943,1113.8496161739718
SC,Florianópolis/SC,2020-06-26,4205407,13.0,0.0,1250.0,1223.0911092006854,724.0884040494367,20.695919226290908,504049.8272907992,91.58623209988326,1131.504877100802
SC,Florianópolis/SC,2020-06-27,4205407,,,,1241.3208062069255,,,504031.59759379295,92.0677900035055,1149.25301620342
SC,Florianópolis/SC,2020-06-28,4205407,,,,1259.645609394677,,,504013.2727906052,92.55121322619121,1167.0943961684857
SC,Florianópolis/SC,2020-06-29,4205407,,,,1278.0658811353048,,,503994.85251886456,93.03650113976144,1185.0293799955434
SC,Florianópolis/SC,2020-06-30,4205407,,,,1296.5819840173492,,,503976.33641598246,93.52365302032811,1203.0583309970211
SC,Florianópolis/SC,2020-07-01,4205407,,,,1315.1942808465237,,,503957.72411915334,94.01266804829388,1221.18161279823
SC,Florianópolis/SC,2020-07-02,4205407,,,,1333.9031346457166,,,503939.01526535413,94.50354530835236,1239.3995893373642
SC,Florianópolis/SC,2020-07-03,4205407,,,,1352.7089086549902,,,503920.20949134487,94.99628378948793,1257.7126248655022
SC,Florianópolis/SC,2020-07-04,4205407,,,,1371.6119663315815,,,503901.30643366824,95.49088238497582,1276.1210839466057
SC,Florianópolis/SC,2020-07-05,4205407,,,,1390.6126713499018,,,503882.30572864995,95.98733989238212,1294.6253314575197
GO,Goiânia/GO,2020-03-12,5208707,0.0,2.0,2.0,2.0,0.0,0.0,1509376.8079999997,2.0,0.0
GO,Goiânia/GO,2020-03-13,5208707,0.0,0.0,2.0,2.613307741075932,0.37614638526366245,0.197881146021116,1509376.1946922585,2.2044805983099263,0.4088271427660056
GO,Goiânia/GO,2020-03-14,5208707,0.0,1.0,3.0,3.289182091279204,0.08362628191661389,0.040378998780948444,1509375.5188179084,2.429821099367374,0.8593609919118304
GO,Goiânia/GO,2020-03-15,5208707,0.0,0.0,3.0,4.033727674453232,1.0685929049304868,0.47628557456823634,1509374.7742723252,2.6780567650204996,1.3556709094327322
GO,Goiânia/GO,2020-03-16,5208707,0.0,2.0,5.0,4.8548573502206365,0.021066388784974976,0.008706266078418111,1509373.9531426495,2.951825704842742,1.9030316453778944
GO,Goiânia/GO,2020-03-17,5208707,0.0,0.0,5.0,5.758997218366476,0.576076777488048,0.2215844269210351,1509373.0490027813,3.2532703130034024,2.505726905363074
GO,Goiânia/GO,2020-03-18,5208707,0.0,0.0,5.0,6.756088871433094,3.083848124371157,1.1073160455476172,1509372.0519111282,3.5857050432104396,3.170383828222654
GO,Goiânia/GO,2020-03-19,5208707,0.0,2.0,7.0,7.855215214199178,0.7313930625977455,0.24578268051962768,1509370.9527847853,3.952158074939749,3.903057139259429
GO,Goiânia/GO,2020-03-20,5208707,0.0,2.0,9.0,9.065490273688846,0.004288975947839994,0.0013518737773584662,1509369.742509726,4.355667962621837,4.709822311067009
GO,Goiânia/GO,2020-03-21,5208707,0.0,0.0,9.0,10.400493230033504,1.9613812873696779,0.5808984358359095,1509368.4075067695,4.800761770278716,5.599731459754788
GO,Goiânia/GO,2020-03-22,5208707,0.0,2.0,11.0,11.874649938328112,0.76501251461737,0.21320668859739617,1509366.9333500613,5.292248810664717,6.5824011276633945
GO,Goiânia/GO,2020-03-23,5208707,0.0,1.0,12.0,13.500111141220463,2.2503334360137606,0.5909642476157947,1509365.3078888585,5.834179961914353,7.66593117930611
GO,Goiânia/GO,2020-03-24,5208707,0.0,3.0,15.0,15.28902758135835,0.08353694278585805,0.020698124644331937,1509363.5189724183,6.430606102162133,8.858421479196217
GO,Goiânia/GO,2020-03-25,5208707,0.0,0.0,15.0,17.258918518312143,5.1027128723735276,1.1941629871013648,1509361.5490814815,7.087367696075884,10.171550822236258
GO,Goiânia/GO,2020-03-26,5208707,0.0,6.0,21.0,19.434545468373706,2.4506478905892997,0.5421237393320908,1509359.3734545314,7.812719403023103,11.621826065350602
GO,Goiânia/GO,2020-03-27,5208707,0.0,5.0,26.0,21.83427231886902,17.353287113340905,3.6315176918452003,1509356.9737276807,8.612783242983612,13.221489075885406
GO,Goiânia/GO,2020-03-28,5208707,0.0,7.0,33.0,24.476333196617603,72.6528957750831,14.39409845185101,1509354.331666803,9.493637980479862,14.98269521613774
GO,Goiânia/GO,2020-03-29,5208707,0.0,0.0,33.0,27.383099768992093,31.549568205096683,5.921933250096228,1509351.4249002307,10.462741500435477,16.920358268556615
GO,Goiânia/GO,2020-03-30,5208707,0.0,2.0,35.0,30.592951926014884,19.422072726415923,3.4554170567420477,1509348.2150480738,11.532887530688349,19.060064395326535
GO,Goiânia/GO,2020-03-31,5208707,0.0,4.0,39.0,34.134879728896635,23.669395252300877,3.993171164551671,1509344.673120271,12.713739991812474,21.421139737084157
GO,Goiânia/GO,2020-04-01,5208707,0.0,3.0,42.0,38.03649549319822,15.709367975438045,2.5143359314460785,1509340.7715045067,14.014503575738928,24.021991917459285
GO,Goiânia/GO,2020-04-02,5208707,0.0,1.0,43.0,42.32772100599976,0.4519590457739709,0.0686619542236599,1509336.480278994,15.445152758882356,26.882568247117405
GO,Goiânia/GO,2020-04-03,5208707,1.0,7.0,50.0,47.05796463263326,8.65557210283676,1.2485705636210263,1509331.7500353672,17.022156740723233,30.035807891910025
GO,Goiânia/GO,2020-04-04,5208707,1.0,15.0,65.0,51.62208935021252,178.96849335369728,24.671328624233325,1509327.1859106494,18.153677754135202,33.46841159607732
GO,Goiânia/GO,2020-04-05,5208707,2.0,8.0,73.0,56.207995858041606,281.97140310354786,37.28006823633937,1509322.6000041415,19.114346348651573,37.09364950939003
GO,Goiânia/GO,2020-04-06,5208707,4.0,0.0,73.0,61.03422774020909,143.17970577318167,18.178823605756644,1509317.7737722595,20.125347399314695,40.90888034089439
GO,Goiânia/GO,2020-04-07,5208707,4.0,3.0,76.0,66.11801381976754,97.65365086630531,11.919799115488289,1509312.6899861798,21.190287409690566,44.92772641007697
GO,Goiânia/GO,2020-04-08,5208707,4.0,9.0,85.0,71.45302976658414,183.52040250505544,21.560363445987537,1509307.354970233,22.307842837353554,49.14518692923058
GO,Goiânia/GO,2020-04-09,5208707,4.0,17.0,102.0,77.10261562599744,619.8797486668267,70.14143699009401,1509301.7053843734,23.491271245935465,53.61134438006198
GO,Goiânia/GO,2020-04-10,5208707,5.0,7.0,109.0,83.03540476565806,674.1602056832123,73.54141220306737,1509295.772595234,24.73400734618306,58.301397419475
GO,Goiânia/GO,2020-04-11,5208707,5.0,5.0,114.0,89.27353686358776,611.3979792363532,64.34929154421067,1509289.534463136,26.040684497956633,63.23285236563113
GO,Goiânia/GO,2020-04-12,5208707,7.0,12.0,126.0,95.83982723105491,909.6360214526169,92.43589424526215,1509282.9681727686,27.41607741943058,68.42374981162433
GO,Goiânia/GO,2020-04-13,5208707,7.0,4.0,130.0,102.75389502960721,742.3502360576629,72.87971173620663,1509276.05410497,28.864292119330276,73.88960291027693
GO,Goiânia/GO,2020-04-14,5208707,7.0,30.0,160.0,110.03536552169604,2496.464698550521,236.9162042450755,1509268.772634478,30.389435846696472,79.64592967499956
GO,Goiânia/GO,2020-04-15,5208707,7.0,16.0,176.0,117.70416338203998,3398.4045669878883,311.9191961465093,1509261.1038366174,31.995676721165573,85.70848666087441
GO,Goiânia/GO,2020-04-16,5208707,8.0,6.0,182.0,125.7802209748514,3160.663553636538,280.7065304437547,1509253.0277790248,33.68718442565014,92.09303654920127
GO,Goiânia/GO,2020-04-17,5208707,8.0,6.0,188.0,134.28335520293285,2885.477928254281,248.08218237888602,1509244.5246447967,35.46810516972663,98.81525003320621
GO,Goiânia/GO,2020-04-18,5208707,10.0,38.0,226.0,143.23356241706568,6850.283190169762,570.3945410178911,1509235.5744375824,37.342622637005185,105.8909397800605
GO,Goiânia/GO,2020-04-19,5208707,10.0,5.0,231.0,152.65752387859493,6137.543564832924,495.1282117695275,1509226.150476121,39.316316517701,113.34120736089392
GO,Goiânia/GO,2020-04-20,5208707,10.0,-1.0,230.0,162.5817063532782,4545.226318235608,355.37604164547696,1509216.2262936463,41.394721709020615,121.1869846442576
GO,Goiânia/GO,2020-04-21,5208707,10.0,10.0,240.0,173.0302224805934,4484.951100998816,339.9737413729373,1509205.777777519,43.58288149713039,129.44734098346302
GO,Goiânia/GO,2020-04-22,5208707,10.0,15.0,255.0,184.0388923689709,5035.478796222497,370.1768551084397,1509194.7691076305,45.88828256296834,138.15060980600256
GO,Goiânia/GO,2020-04-23,5208707,11.0,2.0,257.0,195.61003667609356,3768.727596910578,268.7768784268369,1509183.1979633234,48.31142012047466,147.2986165556189
GO,Goiânia/GO,2020-04-24,5208707,11.0,10.0,267.0,207.80104252431934,3504.516566207447,242.52794445131875,1509171.006957475,50.864281971135654,156.9367605531837
GO,Goiânia/GO,2020-04-25,5208707,11.0,6.0,273.0,220.63843650430266,2741.733331713944,184.16312380996723,1509158.169563495,53.55241520221318,167.08602130208948
GO,Goiânia/GO,2020-04-26,5208707,11.0,60.0,333.0,234.150444012509,9771.234718924115,637.2011401535359,1509144.657555987,56.38172136738578,177.76872264512323
GO,Goiânia/GO,2020-04-27,5208707,12.0,31.0,364.0,248.37423967295098,13369.316451208184,846.6100286998332,1509130.4337603266,59.3599677405747,189.01427193237626
GO,Goiânia/GO,2020-04-28,5208707,12.0,28.0,392.0,263.3488470250509,16551.11916178376,1017.9786160294925,1509115.4591529744,62.4953073504641,200.85353967458678
GO,Goiânia/GO,2020-04-29,5208707,12.0,12.0,404.0,279.1137844834993,15596.566826033866,931.8838168424369,1509099.6942155159,65.79599674887096,213.3177877346283
GO,Goiânia/GO,2020-04-30,5208707,12.0,49.0,453.0,295.71109704198545,24739.798993735716,1436.2474548600246,1509083.0969029574,69.27081949232296,226.44027754966248
GO,Goiânia/GO,2020-05-01,5208707,12.0,4.0,457.0,313.18524303926114,20682.684319676388,1166.8472632713456,1509065.62275696,72.92906189505369,240.25618114420743
GO,Goiânia/GO,2020-05-02,5208707,12.0,10.0,467.0,331.58229743083564,18337.954169110664,1005.5445545848638,1509047.2257025687,76.78034242400908,254.80195500682655
GO,Goiânia/GO,2020-05-03,5208707,12.0,20.0,487.0,350.9510428642197,18509.31873773339,986.6186167466952,1509027.8569571353,80.834845332928,270.1161975312917
GO,Goiânia/GO,2020-05-04,5208707,12.0,9.0,496.0,371.3427861773866,15539.42095801676,805.3104962976088,1509007.4652138222,85.10328136879797,286.2395048085886
GO,Goiânia/GO,2020-05-05,5208707,14.0,49.0,545.0,392.8112358219931,23161.419942029002,1167.135098371472,1508985.9967641775,89.59686152424932,303.21437429774375
GO,Goiânia/GO,2020-05-06,5208707,14.0,0.0,545.0,415.4130476233813,16792.778226260038,822.9252499017764,1508963.3949523761,94.32740842077665,321.0856392026047
GO,Goiânia/GO,2020-05-07,5208707,21.0,2.0,547.0,439.20917807809815,11618.861290599158,553.7758603223947,1508939.5988219213,99.30763250090536,339.9015455771928
GO,Goiânia/GO,2020-05-08,5208707,23.0,3.0,550.0,464.26230065926876,7350.953088241626,340.79618092120757,1508914.54569934,104.55060472639269,359.71169593287607
GO,Goiânia/GO,2020-05-09,5208707,23.0,0.0,550.0,490.6376599618377,3523.887414806407,158.92764687963313,1508888.1703400377,110.06993089926291,380.56772906257476
GO,Goiânia/GO,2020-05-10,5208707,23.0,0.0,550.0,518.4031792911094,998.359078909779,43.80608785990995,1508860.4048207083,115.87977361936791,402.5234056717415
