day,state,suscetivel,exposto,infectado,recuperado
2020-12-03,SP,0.6103793007892045,0.01559712871417818,0.038738326950889634,0.3352863324184537
2020-12-04,SP,0.6054478613649298,0.015367563453136461,0.0383898562399481,0.3407958078147117
2020-12-05,SP,0.6006019505433116,0.01513029394759033,0.03801522567126105,0.34625361871056304
2020-12-06,SP,0.5958433538818968,0.014885990355967611,0.0376156317588641,0.3516561128759975
2020-12-07,SP,0.5911736344492845,0.014635323280662041,0.03719231824988986,0.3569998128928896
2020-12-08,SP,0.5865941379034653,0.014378957516941696,0.036746571708871155,0.36228142174344796
2020-12-09,SP,0.5821059975151948,0.014117549279081903,0.036279713534220936,0.36749782854422836
2020-12-10,SP,0.5777101396000354,0.013851744993016958,0.03579309098445527,0.37264611329521835
2020-12-11,SP,0.5734072912865152,0.013582177886935685,0.03528806934398734,0.3777235503552877
2020-12-12,SP,0.5691979844294814,0.01330946614653154,0.034766029049537926,0.3827276092471751
2020-12-13,SP,0.5650825678228314,0.01303420943474958,0.034228354092192256,0.38765595752295273
2020-12-14,SP,0.5610612100211995,0.012756988477329397,0.03367642987621643,0.3925064604979807
2020-12-15,SP,0.5571339137718341,0.012478362677810585,0.033111631413566295,0.3972771810095151
2020-12-16,SP,0.553300519272504,0.012198869573158157,0.03253532258641582,0.4019663774406481
2020-12-17,SP,0.549560715031053,0.011919022959616075,0.03194884863685409,0.40657250224520297
2020-12-18,SP,0.5459140498775247,0.011639311528380457,0.031353530282991864,0.4110941971838291
2020-12-19,SP,0.5423599345924045,0.011360199108537417,0.030750662931751577,0.41553029224003263
2020-12-20,SP,0.538897660471676,0.011082123489402726,0.030141507205042255,0.41987979770660516
2020-12-21,SP,0.5355263955599359,0.01080549642054851,0.029527290697305867,0.42414190619493586
2020-12-22,SP,0.5322452034057391,0.010530705203734166,0.02890920081850414,0.4283159794447488
2020-12-23,SP,0.5290530559751476,0.010258110348579284,0.028288376963727175,0.4324015455852721
2020-12-24,SP,0.5259488332518846,0.009988046521650118,0.027665915820612935,0.43639829327857854
2020-12-25,SP,0.5229313274785,0.009720823367406659,0.027042873086625736,0.44030606494019375
2020-12-26,SP,0.5199992621695767,0.009456723942260393,0.026420252409497726,0.4441248503513914
2020-12-27,SP,0.5171512930356115,0.009196005793359606,0.025799012458561973,0.44785477758519315
2020-12-28,SP,0.5143860189899749,0.008938900715154576,0.025180060788305283,0.45149610837929144
2020-12-29,SP,0.5117019856955835,0.008685620845743171,0.02456425190032747,0.45504923043107215
2020-12-30,SP,0.5090976937481343,0.008436358431359313,0.02395238602229957,0.45851465067093305
2020-12-31,SP,0.5065716059516967,0.008191284975679088,0.023345210696492907,0.4618929872488575
2020-03-12,SC,0.999993021426454,6.978573546069998e-06,6.978573546069989e-06,0.0
2020-03-13,SC,0.9999915303775672,6.2701542086673625e-06,8.097922034020658e-06,1.0801197362660773e-06
2020-03-14,SC,0.9999898501117178,5.925045754421771e-06,8.906105419837416e-06,2.2973106539116662e-06
