day,state,suscetivel,infectado,recuperado
2020-06-14,RO,0.9931857618510755,0.002250985350696089,0.004563252798228462
2020-06-15,RO,0.992904614923373,0.0022637122584974584,0.00483167281812958
2020-06-16,RO,0.9926219637300365,0.00227643059478583,0.005101605675177683
2020-06-17,RO,0.9923378107333404,0.0022891389998786014,0.0053730502667810095
2020-06-18,RO,0.9920521585532168,0.0023018360993646157,0.005646005347418534
2020-06-19,RO,0.9917650100202781,0.0023145204861121597,0.005920469493609762
2020-06-20,RO,0.9914763681516329,0.002327190739946648,0.006196441108420593
2020-06-21,RO,0.9911862361405,0.0023398454289231875,0.006473918430576816
2020-06-22,RO,0.9908946173660125,0.0023524831084739614,0.006752899525513592
2020-06-23,RO,0.9906015153938857,0.0023651023208526613,0.0070333822852616315
2020-06-24,RO,0.9903069339695367,0.0023777015980189363,0.007315364432444393
2020-06-25,RO,0.9900108770240552,0.0023902794610009452,0.007598843514943894
2020-06-26,RO,0.9897133487271043,0.0024028344142486024,0.007883816858647086
2020-06-27,RO,0.9894143534044206,0.0024153649546261777,0.008170281640953219
2020-06-28,RO,0.9891138955349136,0.0024278695717311126,0.00845823489335534
2020-06-29,RO,0.9888119798125762,0.002440346741088594,0.008747673446335247
2020-06-30,RO,0.988508611125914,0.0024527949288482643,0.009038593945237634
2020-07-01,RO,0.9882037945593236,0.0024652125921875456,0.009330992848488788
2020-07-02,RO,0.9878975353854401,0.0024775981770720117,0.009624866437487866
2020-07-03,RO,0.9875898390730597,0.002489950120842718,0.009920210806097559
2020-07-04,RO,0.9872807112907073,0.002502266853461118,0.010217021855831617
2020-07-05,RO,0.9869701578963128,0.002514546793906687,0.010515295309780525
2020-07-06,RO,0.9866581849481678,0.002526788354865552,0.010815026696966686
2020-07-07,RO,0.9863447987047651,0.0025389899428327027,0.011116211352402157
2020-07-08,RO,0.9860300056165472,0.002551149953731985,0.011418844429720777
2020-07-09,RO,0.9857138123315862,0.0025632667756884343,0.01172292089272541
2020-07-10,RO,0.9853962256966582,0.0025753387894361128,0.012028435513905667
2020-07-11,RO,0.9850772527582903,0.0025873643687114797,0.012335382872998244
2020-07-12,RO,0.9847569007623151,0.0025993418822074627,0.01264375735547733
2020-07-13,RO,0.984435177152076,0.0026112696969424172,0.012953553150981593
2020-07-14,RO,0.9841120895753966,0.002623146172450865,0.013264764252152486
2020-07-15,RO,0.9837876458832956,0.0026349696636192572,0.01357738445308513
2020-07-16,RO,0.9834618541307516,0.0026467385213728347,0.013891407347875506
